id;classe;causa;estatuto;ambito;prova (certificado e numero);instrumento independente;margem e leitura;o que a fecharia
BIO-11;biologia;Armillaria sp. (solo);EXCLUIDA-LOCAL;"metade OESTE do nucleo redondo de 3.98 ha, centro E530476 N4655046, a 11.4 m do centro do foco OESTE; 2025-06-06; matriz SOLO";matriz em c3_05_folhas.txt: NEGATIVO no granel 331/2025;nenhum (o segundo NEGATIVO e o informe 240/2023, Ribadumia - REJEITADO);idem BIO-10. Sensibilidade de um composto de solo para organismo de distribuicao em manchas nao esta declarada em lado nenhum.;repeticao noutro ponto e noutra data
BIO-12;biologia;Rosellinia sp. (solo);EXCLUIDA-LOCAL;"metade OESTE do nucleo redondo de 3.98 ha, centro E530476 N4655046, a 11.4 m do centro do foco OESTE; 2025-06-06; matriz SOLO; 2025-06-06";"C3-R2 B9; matriz em c3_05_folhas.txt";numero de informe (331/2025) e de expediente (2025045292), atribuidos pelo laboratorio na recepcao;NEGATIVO em SOLO e em 2025-06-06. NAO toca a observacao de campo de 2026-08-04, que e RAIZ, outra planta, catorze meses DEPOIS.;envio da amostra de raiz que foi colhida em 2026-08-04 e nao foi enviada
BIO-13;biologia;Rosellinia sp. (raiz);NAO TESTADA;nenhum ponto, nenhuma data;C3-R2 B9: a linha RAIZ nao existe na matriz;nenhum;Existe UMA observacao macroscopica de campo (2026-08-04, uma planta arrancada, local nao especificado) e a amostra nao foi enviada. E o unico organismo que um observador de campo nomeou neste caso.;enviar a amostra ja colhida - custo praticamente nulo
BIO-14;biologia;Oomicetes (geral) (solo);EXCLUIDA-LOCAL;"metade OESTE do nucleo redondo de 3.98 ha, centro E530476 N4655046, a 11.4 m do centro do foco OESTE; 2025-06-06; matriz SOLO";matriz em c3_05_folhas.txt: NEGATIVO no granel 331/2025;nenhum;NEGATIVO em SOLO. NAO cobre o compartimento raiz - e na RAIZ que a mesma amostra da POSITIVO a Globisporangium intermedium, que e um oomiceta.;ensaio de oomicetas em raiz, em Ganfei
BIO-15;biologia;Oomicetes (geral) (raiz);NAO TESTADA;nenhum ponto de Ganfei;matriz: a unica fonte e o informe 240/2023, Ribadumia - REJEITADO;nenhum;ARMADILHA DE NOME: o talhao espanhol chama-se 'B-3/C-3' e o bloco do foco ESTE de Ganfei chama-se 'B3'. Um NEGATIVO espanhol lido como Ganfei exclui Phytophthora do lado oriental sem nenhum dado de Ganfei.;ensaio de oomicetas em raiz, em Ganfei
BIO-16;biologia;Meloidogyne hapla como explicacao do contraste entre os focos;EXCLUIDA;as 4 unidades com posicao (B3, B4, V7, Erica Novo E), 2026-05-06;"C3-R2 B3; contagens em c3_05_folhas.txt; defice por unidade em c3_07_georreferenciacao.json";"SIM - laboratorio (Areeiro) para a contagem, Sentinel-2 para o defice; nenhum dos dois produziu o outro";"Positivo em 4/4 unidades colocadas. rho(defice, contagem no solo) = -0.4 e rho(defice, contagem na raiz) = -0.8: o sinal e NEGATIVO - mais nematodes onde ha MENOS defice. n = 4, uma data, um metodo; nenhum dos dois e significativo. A carga mais alta de todas (250/200 cc) esta no B1, que NAO TEM POSICAO.";nada - esta fechada para esta pergunta
BIO-17;biologia;Meloidogyne hapla como stress de fundo do corpo inteiro;NAO TESTADA;todo o corpo principal;"C3-R2 B3; e a hipotese que BIO-16 NAO testa";nenhum;Um organismo presente em todas as unidades amostradas e exactamente o que produziria uma perda EM BLOCO (ver REG-02) em vez de um contraste. BIO-16 exclui-o como discriminante e nao diz nada sobre isto. Sem controlo externo (G26) nao ha nivel de referencia para nenhuma destas contagens: nao se sabe o que e uma contagem normal em kiwi sao neste aluviao.;contagem em kiwi sao fora da exploracao - que G26 diz nao existir a 3 km
BIO-18;biologia;Dactylonectria sp. (raiz);NAO TESTADA;nenhum ponto de Ganfei;matriz: unica fonte e o informe 240/2023, Ribadumia - REJEITADO;nenhum;POSITIVO, mas em Espanha. Zero informacao sobre Ganfei em qualquer sentido. Mesma armadilha de nome de BIO-15.;ensaio destas linhas em Ganfei
BIO-19;biologia;Fusarium sp. (raiz);NAO TESTADA;nenhum ponto de Ganfei;matriz: unica fonte e o informe 240/2023, Ribadumia - REJEITADO;nenhum;POSITIVO, mas em Espanha. Zero informacao sobre Ganfei em qualquer sentido. Mesma armadilha de nome de BIO-15.;ensaio destas linhas em Ganfei
BIO-20;biologia;Ilyonectria liriodendri (raiz);NAO TESTADA;nenhum ponto de Ganfei;matriz: unica fonte e o informe 240/2023, Ribadumia - REJEITADO;nenhum;POSITIVO, mas em Espanha. Zero informacao sobre Ganfei em qualquer sentido. Mesma armadilha de nome de BIO-15.;ensaio destas linhas em Ganfei
BIO-21;biologia;Rhizoctonia solani (raiz);NAO TESTADA;nenhum ponto de Ganfei;matriz: unica fonte e o informe 240/2023, Ribadumia - REJEITADO;nenhum;POSITIVO, mas em Espanha. Zero informacao sobre Ganfei em qualquer sentido. Mesma armadilha de nome de BIO-15.;ensaio destas linhas em Ganfei
BIO-22;biologia;Phytophthora sojae;NAO TESTADA;nenhum ponto com posicao;registo 79 do Registo Principal, coluna Notes, Becrop de 2023-08;nenhum;Aparece nas Notes de um relatorio SEM PARCELA ASSOCIADA e numa freguesia que nao e Ganfei. E o organismo que o CONTROLOS.md lista como o segundo dos tres erros que custaram semanas. NAO PROMOVER.;ensaio dirigido, com posicao
BIO-23;biologia;Phytophthora spp. em raiz ou colo;NAO TESTADA;nenhum ponto de Ganfei em matriz RAIZ;matriz: ver BIO-14 e BIO-15;nenhum;O unico NEGATIVO de oomicetas com lugar e em SOLO. A mesma amostra da POSITIVO a um oomiceta (Globisporangium) na RAIZ.;isolamento selectivo de oomicetas em raiz e colo
BIO-24;biologia;Pseudomonas syringae pv. actinidiae (PSA) e cancro bacteriano;NAO TESTADA;nenhum ponto, nenhuma data, nenhuma matriz;matriz completa: 15 taxa, todos fungos, oomicetas ou nematode;nenhum;"NAO EXISTE UMA UNICA LINHA BACTERIANA EM TODA A MATRIZ. O patogeno de referencia do kiwi na Europa nunca foi procurado neste caso, com ou sem posicao. Isto nao e um resultado negativo; e a ausencia do ensaio.";um ensaio bacteriologico, em qualquer ponto
BIO-25;biologia;Outras bacterias de raiz, colo ou vaso;NAO TESTADA;nenhum ponto;idem BIO-24;nenhum;idem BIO-24.;um ensaio bacteriologico
BIO-26;biologia;Virus e viroides;NAO TESTADA;nenhum ponto;idem BIO-24;nenhum;Nenhuma linha viral na matriz.;serologia ou RT-PCR dirigida
BIO-27;biologia;Nematodes que nao Meloidogyne hapla;NAO TESTADA;nenhum ponto;folha Contagens Nematodos: mede um genero;nenhum;Os cinco informes 339-343/2026 contam J2+ovos de M. hapla. Nenhum outro genero foi enumerado.;analise nematologica de espectro largo
ABI-01;substrato;Declive / posicao em encosta;EXCLUIDA;toda a parcela;"C1 S5: 0,336 / 0,406 / 0,427 graus, p = 0,20; tudo abaixo de 0,5 graus";SIM - LiDAR/MDT contra a serie optica;Categorica. 'Encosta' e falso para os dois focos.;nada
ABI-02;substrato;Posicao topografica humida / acumulacao de agua como explicacao do padrao;EXCLUIDA;as onze cenas, todo o poligono;ADVERSARIO_2026-08-29 W5, terreno_declinio.json: rho da cota NEGATIVO nas onze cenas (-0,20 a -0,46, p < 1e-24) - o defice esta no terreno ALTO;SIM - MDT LiDAR contra serie Sentinel-2;Hipotese fixada antes de correr, na direccao certa, e CONTRADITA. Potencia sobra (~2 200 celulas). O TWI, esse, nao tem gama sobre pomar nivelado e devia ter ficado em NAO TESTAVEL, nao em retirada.;nada para a versao global - ver ABI-03 para a pista que sobra
ABI-03;substrato;Agua concentrada no foco OESTE (posicao hidraulica local);SUSTENTADA;"foco OESTE, E530485 N4655053; como FACTO DE SUBSTRATO, nao como causa";"C1 S6: altura sobre a drenagem 0,130 m (OESTE) / 0,150 (ref) / 0,353 (ESTE); distancia a drenagem 13,4 / 23,6 / 55,8 m";"SIM - LiDAR/MDT; independente da serie optica";E substrato medido, NAO e causa demonstrada. E ha uma pista arquivada sem ser reportada: dentro do foco OESTE a area drenante INVERTE de sinal e emerge nos anos do evento (+0,203 -> -0,252). Com autocorrelacao de 0,86-0,96 e ~200 celulas e pista, nao facto.;sonda de humidade de solo instalada no foco OESTE e na referencia
ABI-04;rega;Topologia da rede de rega / efeito de agrupamento por valvula;EXCLUIDA;as onze cenas;ADVERSARIO_2026-08-29 W5, rede_de_rega.py: o agrupamento por valvula fica dentro do nulo rodado em todas as onze cenas (p 0,175 a 0,64);nenhum - e a mesma serie optica reagrupada;Criterio de falsificacao escrito antes de correr, e cumprido. NAO cobre ABI-05.;nada para o agrupamento
ABI-05;rega;Falha ou avaria numa valvula unica (a v8);NAO TESTADA;v8, 2.78 ha, bloco B2, ponto a 34.5 m do foco OESTE;C2-V4 (reescrita por R1): a v8 tem a maior anomalia negativa de VV do Inverno de 2025-26 por um factor de cinco (-0,660 dB contra -0,135);nenhum - UM instrumento (radar), como a R1 estabeleceu;ABI-04 testa AGRUPAMENTO: um teste de agrupamento nao ve uma unidade isolada. E o teste de 'ordem na rede' e invalido por desenho (a origem esta a 240 m do foco OESTE, logo 'distancia a origem' e quase 'distancia ao foco'). Uma valvula e uma unidade DE GESTAO. 93 % do defice de 2026 da v8 e declinio NOVO.;o registo de operacoes e de avarias de rega do B2 em 2024-2026
ABI-06;rega;Qualidade da agua / origem unica da rega;NAO TESTADA;nenhum ponto;nenhum ensaio de agua existe no caso;nenhum;"Origem unica esta declarada na C1; a agua nunca foi analisada.";uma analise de agua da origem
ABI-07;clima;Stress termico;NAO TESTADA;nenhum ponto;C1 S17: a linha termica esta RETIRADA - o acoplamento dT-dNDVI e -0,925 no controlo interno FORA do pomar, logo e generico da superficie;nenhum;O que caiu foi o INSTRUMENTO, nao a causa. Nunca se mediu temperatura de solo nem LST nocturno. NAO RESSUSCITAR a linha termica diurna.;LST nocturno, ou temperatura de solo medida
ABI-08;clima;Precipitacao / seca como discriminante ESPACIAL;EXCLUIDA;os 496 m que separam os dois focos;C1 S16: nenhum produto de precipitacao resolve 496 m;SIM - ERA5-Land, proveniencia externa;Categorica quanto a resolucao.;nada
ABI-09;clima;Seca ou excesso de agua como causa do ANO de 2026;NAO TESTADA;o ano de 2026, toda a parcela;nao ha facto na lista fechada que a teste;nenhum;"ABI-08 exclui a precipitacao como discriminante ENTRE OS FOCOS; nao diz nada sobre o ano. E sem controlo externo (G26) um ano mau da regiao e indistinguivel de um ano mau da parcela.";o controlo externo que G26 diz nao existir a 3 km - ver REG-01
ABI-10;substrato;Nivelamento e truncatura do perfil de solo;NAO TESTADA;todo o poligono, com assimetria a leste;"C1 S18 (o pomar e duas vezes mais plano que o envolvente, 0,0355 contra 0,0703 m, p = 3,2e-10) e S19 (rugosidade a 25 m do foco ESTE excede a referencia, +0,0379 m, p = 1,3e-18; a do OESTE nao, p = 0,058)";SIM - LiDAR, dentro da mesma campanha de voo;S18 e S19 medem FORMA DA SUPERFICIE. 'Solo truncado logo enraizamento superficial' e a inferencia, e nao ha uma unica descricao de perfil de solo em todo o caso. A propria S18 diz: compativel, nao e prova.;duas fossas de perfil - uma no foco, uma na referencia
ABI-11;nutricao;Carencia de calcio no bloco do foco OESTE;SUSTENTADA;"bloco do foco OESTE (rotulo B2 - V7); solo 2026-03-03 e folha 2026-06";"C1 S10: solo CaO 264 e 505 mg/kg; folha Ca 2,2 % contra referencia 3-4,7 %, classificado 'Baixo'";SIM - duas matrizes, dois metodos, duas datas. A C3 R2 W6 confirma explicitamente que a S10 SOBREVIVE inteira.;SUSTENTADA como PRESENCA de carencia, NAO como causa. O contraste de CaO ENTRE blocos esta retirado (1,7x, abaixo do factor de 2 de S9, e os dois boletins do lado Erica Novo sao os dois INFERIDOS). E NAO EXISTE analise foliar para o B3: o contraste leste-oeste em folha nao existe.;analise foliar no B3 e na referencia, na mesma data
ABI-12;nutricao;Solo pobre no B3 (bloco do foco ESTE);INCONCLUSIVA;B3, 9.92 ha;"C1 S8 (minimo de nove boletins em cinco de sete parametros) contra C1 S9 (um boletim nao caracteriza um bloco; dentro do B1 tres sub-parcelas dao CaO 314, 439 e 4700)";nenhum;S9 fixa o factor de 2 como limiar de interpretabilidade e S8 corre sobre n = 1 boletim. As duas sao da mesma camada e nao foram arbitradas. Nao e excluida e nao e sustentada.;tres boletins no B3 em vez de um
ABI-13;substrato;Compactacao / asfixia radicular;NAO TESTADA;nenhum ponto;nenhuma medicao de resistencia, porosidade ou oxigenio;nenhum;Nunca foi medida. A leitura 'perde agua antes de verdura' que apontava para aqui foi RETIRADA (ver INS-05).;penetrometro e descricao de perfil, no foco e na referencia
ABI-14;quimica;Fitotoxicidade, herbicida ou residuo;NAO TESTADA;nenhum ponto;nenhum ensaio existe;nenhum;Nunca procurado.;historico de aplicacoes + analise de residuos
ABI-15;quimica;Salinidade;NAO TESTADA;nenhum ponto;os boletins A2 nao trazem condutividade reportada nesta cadeia;nenhum;Nunca avaliada.;condutividade nos boletins existentes
GES-01;gestao;Renovacao de pomar no nucleo N3 (arranque e replantacao);NAO TESTADA;N3, E531068 N4655145 - que esta a 95.2 m do foco ESTE, ou seja FORA do disco de 90 m. NAO e o foco ESTE.;A favor: L3/nota do parcelario (0,27 m de altura em 06-07-2025, disco de 70 m) e IFAP a declarar KIWI a 10-06-2025. Contra: ADVERSARIO_2026-08-29 R8 e W6;SIM - LiDAR (geometria) contra piso de Inverno (optico) contra parcelario (documento);"PARCIALMENTE CONTRADITA pelo unico instrumento que a pode datar. O piso de Inverno do N3 DESCE (0,654 em 2024/25 -> 0,497 em 2025/26) e o pico de Verao DESCE (~0,71 -> ~0,65), ficando 0,20-0,26 abaixo da referencia. Uma videira jovem a pegar FECHA sobre a referencia no Verao; esta AFASTA-SE. E a 'recuperacao a 0,65' de L8 e o DENOMINADOR a cair, nao o N3 a subir.";um segundo voo LiDAR, ou uma visita. Nao mais analise.
GES-02;gestao;Chao limpo mantido no N3 (sem replantacao);NAO TESTADA;N3, E531068 N4655145;ADVERSARIO_2026-08-29 R8/W6: piso de Inverno 0,654 em 2024/25 contra 0,358 da referencia, e queda a 0,497 em 2025/26;SIM - LiDAR contra piso de Inverno;E a leitura que os numeros favorecem sobre GES-01, e nao esta confirmada. As duas leituras nao se distinguem com o material que existe, e sao mutuamente exclusivas.;a mesma visita que fecha GES-01
GES-03;gestao;Operacao de gestao (arranque, poda severa, desmontagem de pergola) no foco OESTE;NAO TESTADA;v8/B2, E530485 N4655053;Constrangida por: L3 (2,25 m e 90,2 % de copado no disco OESTE em 06-07-2025), pct_nu2021 = 0.0 % na v8, e 93 % do defice de 2026 da v8 ser declinio NOVO;SIM - LiDAR (altura) contra ortofoto 2021 (estrutura) contra serie;Muito constrangida e nao excluida. O LiDAR e UMA data (06-07-2025) e nao cobre 2026, que e o ano em causa. O teste T3 do adversario da C2 - apontar a prominencia de pergola a ortofoto de 2025 - era CONDICAO de arranque da C3 e NAO CORREU: nao existe c2_12_prom_2025.npy.;o registo de operacoes do B2 em 2024-2026, e correr o T3
GES-04;gestao;Operacao de gestao no foco ESTE / lado oriental;NAO TESTADA;B3, v12-v15, E530977 N4655117;"C2 adversario parte 3: os dados nao distinguem copado em declinio de copado arrancado, replantado ou re-armado; T3 nao correu";nenhum para 2026;"22.6 % de chao lavrado na v13 e 13.8 % na v14 ja em 2021; 52 % do defice de 2026 do disco ESTE ja estava em defice continuo desde 2024 ou antes. Uma parte deste lado e terreno operado ha muito, e nada no material diz qual parte.";o registo de operacoes do B3 em 2024-2026 - pedido duas vezes, por duas sessoes independentes, e ainda nao feito
GES-05;material;Porta-enxerto (Summer Kiwi contra pe franco Erica);INCONCLUSIVA;B1 contra corpo principal, janela 2021-2026;_MULTIVERSO/AGREGACAO_H2.md, H2b: INCONCLUSIVO no agregado;"SIM para H2a (radar em duas orbitas); NENHUM valido para H2b";H2a SUPORTA que o B1 e o corpo divergem e que o B1 esta do lado bom (3/3 corridas). H2b nao atribui a divergencia ao porta-enxerto: o controlo interno nao esta validado porque a valvula 1 nao esta identificada, e a sobre-enxertia de 2016/2020 absorve a maior parte do efeito. NENHUM ponto do B1 tem posicao (G35/G36), raio 343 m.;o esquema de valvulas do B1 - quais os poligonos das valvulas 1 a 5
GES-06;material;Sobre-enxertia de 2016 (Enza Gold) e ~2020 (Erica);NAO TESTADA;B1, valvulas 2-5;"G36; AGREGACAO_H2: e o confundimento que absorve GES-05";nenhum;So existe no B1, que nao e onde o padrao esta. Entra no livro porque e o confundimento que impede GES-05 de ser decidida.;datas de enxertia por valvula
GES-07;gestao;Rede de sombreamento;NAO TESTADA;B1 apenas, no periodo do Enza Gold;"G32/G36: houve rede, e SO no B1; o corpo principal nunca teve";testemunho do gestor (tipo 1);Nao pode explicar nada no corpo principal, por nunca la ter existido. As duas datas continuam por dar, e sem elas a serie do B1 tem dois degraus de posicao desconhecida.;as duas datas - instalacao e remocao
GES-08;material;Idade / data de plantacao das 5,37 ha novas;NAO TESTADA;as 5,37 ha sem estrutura de fiada em 2010 e 2012;C2 V6 na formulacao estreita de W1;SIM - prominencia de pergola em ortofoto, dentro de cada imagem;Pelo menos 5,37 ha nao tinham fiada em 2010 nem em 2012 e tinham-na em 2021. A data de plantacao continua por dar, e o enchimento de uma pergola nova vale +0,06 a +0,11 NDVI/ano - varias vezes o efeito procurado (AGREGACAO_H2, ponto 3).;a data de plantacao, por talhao
REG-01;regional;Fenomeno regional ou sectorial - 'todo o kiwi deste aluviao fez isto';NAO TESTADA;"o aluviao; nao ha controlo a menos de 3 km";G26 (varrimento de ~3 km, 13 candidatos, 11 falsos positivos, nenhum kiwi contemporaneo) mais AGREGACAO_H2 H2-4;nenhum verificado;G26 diz que com dados de satelite este caso NAO DISTINGUE 'esta parcela declina' de 'todo o kiwi deste aluviao fez isto', e que isso e RESULTADO e nao lacuna de busca. H2-4 acrescenta um dado positivo: outra exploracao de kiwi a 8,1 km, 76 ha declarados, com colapso em degrau em 2024 - UMA corrida, UMA medicao, alvo verificado como existente, NAO VERIFICADO INDEPENDENTEMENTE. E ver REG-03: uma corrida mediu a paisagem envolvente a cair o DOBRO do bloco e outra mediu a sua referencia parada. Esta e a causa candidata de maior consequencia e a menos testada de todo o livro.;medir o ENT 297313 (8,1 km, 76,22 ha) numa segunda corrida independente, e procurar mais dois ou tres beneficiarios de kiwi na regiao com o parcelario, que e o instrumento que G26 nao teve
REG-02;regional;Perda de condicao EM BLOCO de todo o corpo principal desde 2023;SUSTENTADA;corpo principal, janela 2021-2026;"AGREGACAO_H2 H2-3: -0,054 NDVI em cinco anos com 98,5 % dos pixeis a participar; sobrevive a bordadura, vizinhanca, densidade, escolha de referencia, plataforma, indice, sobrevivencia e gradiente de paisagem";"NAO na lista fechada - a serie Landsat (outra agencia, outro sensor) media-o e o adversario da adenda disse que devia ter entrado em L1-L8; nao entrou";"UMA corrida, UM instrumento (optico). Concorda com G6/G25 (a referencia sistematica DESCE, -0,00395/ano) e com o T4 da C3 (media da referencia cai 0,0548 contra 0,0219 da mediana; distancia media-mediana passa de -0,0011 a -0,0340). REENQUADRA O CASO: nao sao duas manchas num pomar sao; e um bloco a descer com manchas por cima.";a serie Landsat da referencia, que ja esta em disco e nunca foi certificada - ver INS-04
INS-01;instrumento;Vies de calibracao do Sentinel-2C como explicacao da queda de nivel;EXCLUIDA;o nivel / a media, em toda a serie;"_MULTIVERSO/ADVERSARIO_H1.md: QUATRO medicoes emparelhadas de quatro corridas independentes - A(H1) -0,056 em NDRE e sem vies em NDVI; C(H1) +0,0007/+0,0045; ceptico(H2) +0,000/+0,004; patologista(H2) +0,012";SIM - quatro corridas independentes, com personas e desenhos diferentes, que e a forma de agregacao que Botvinik-Nezer 2020 estabelece;TODAS aproximadamente ZERO. O valor de -0,048 que circulou por toda a cadeia NAO VEM DE NENHUMA DELAS: vem de um degrau de nivel medido FORA do pomar, onde sensor e ano estao confundidos, e foi-lhes atribuido na agregacao da H1. Entrou na lista fechada como metade da L5 e passou a ronda H2 como facto de especificacao. NAO exclui INS-06.;nada - esta fechada
INS-06;instrumento;Efeito do S2C sobre as estatisticas de CAUDA (desvio-padrao, assimetria);NAO TESTADA;as duas cenas S2C, fora do pomar;W3 do adversario da C2: o unico controlo de cena existente corre sobre a MEDIA;nenhum;Um degrau de sensor nao e uniforme em NDVI: uma diferenca de bandas ou de correccao atmosferica actua de forma diferente a 0,89 e a 0,70, e o que isso produz e um alargamento da cauda inferior. TODAS as grandezas-titulo desta cadeia - area em defice, dispersao, fraccao, M2 - sao estatisticas de CAUDA. INS-01 fecha a media e NAO fecha isto.;medir sd e assimetria das celulas FORA do pomar nas duas cenas S2C - tres linhas sobre ficheiros que ja estao em disco
