id;classe;causa;estatuto_C4;estatuto_C5;derivado;regra;campo;excerto;prova;instrumento
ABI-03;substrato;Agua concentrada no foco OESTE (posicao hidraulica local);SUSTENTADA;SUSTENTADA-LOCAL;COM INSTRUMENTO INDEPENDENTE;R6;instrumento independente;"SIM - LiDAR/MDT; independente da serie optica";"C1 S6: altura sobre a drenagem 0,130 m (OESTE) / 0,150 (ref) / 0,353 (ESTE); distancia a drenagem 13,4 / 23,6 / 55,8 m";"SIM - LiDAR/MDT; independente da serie optica"
ABI-04;rega;Topologia da rede de rega / efeito de agrupamento por valvula;EXCLUIDA;EXCLUIDA-INTERNA;NAO DERIVAVEL DO TEXTO;—;;as onze cenas;ADVERSARIO_2026-08-29 W5, rede_de_rega.py: o agrupamento por valvula fica dentro do nulo rodado em todas as onze cenas (;nenhum - e a mesma serie optica reagrupada
ABI-05;rega;Falha ou avaria numa valvula unica (a v8);NAO TESTADA;NUNCA PROCURADA;NAO DERIVAVEL DO TEXTO;—;;v8, 2.78 ha, bloco B2, ponto a 34.5 m do foco OESTE;C2-V4 (reescrita por R1): a v8 tem a maior anomalia negativa de VV do Inverno de 2025-26 por um factor de cinco (-0,660 ;nenhum - UM instrumento (radar), como a R1 estabeleceu
ABI-06;rega;Qualidade da agua / origem unica da rega;NAO TESTADA;NUNCA PROCURADA;NUNCA PROCURADA;R1;ambito;nenhum ponto;nenhum ensaio de agua existe no caso;nenhum
ABI-07;clima;Stress termico;NAO TESTADA;NUNCA PROCURADA;NUNCA PROCURADA;R1;ambito;nenhum ponto;C1 S17: a linha termica esta RETIRADA - o acoplamento dT-dNDVI e -0,925 no controlo interno FORA do pomar, logo e generi;nenhum
ABI-08;clima;Precipitacao / seca como discriminante ESPACIAL;EXCLUIDA;NUNCA PROCURADA;COM INSTRUMENTO INDEPENDENTE;R6;instrumento independente;SIM - ERA5-Land, proveniencia externa;C1 S16: nenhum produto de precipitacao resolve 496 m;SIM - ERA5-Land, proveniencia externa
ABI-09;clima;Seca ou excesso de agua como causa do ANO de 2026;NAO TESTADA;NUNCA PROCURADA;NAO DERIVAVEL DO TEXTO;—;;o ano de 2026, toda a parcela;nao ha facto na lista fechada que a teste;nenhum
ABI-10;substrato;Nivelamento e truncatura do perfil de solo;NAO TESTADA;NUNCA PROCURADA;COM INSTRUMENTO INDEPENDENTE;R6;instrumento independente;SIM - LiDAR, dentro da mesma campanha de voo;C1 S18 (o pomar e duas vezes mais plano que o envolvente, 0,0355 contra 0,0703 m, p = 3,2e-10) e S19 (rugosidade a 25 m ;SIM - LiDAR, dentro da mesma campanha de voo
ABI-11;nutricao;Carencia de calcio no bloco do foco OESTE;SUSTENTADA;SUSTENTADA-LOCAL;COM INSTRUMENTO INDEPENDENTE;R6;instrumento independente;SIM - duas matrizes, dois metodos, duas datas. A C3 R2 W6 confirma explicitamente que a S10 SOBREVIVE inteira.;"C1 S10: solo CaO 264 e 505 mg/kg; folha Ca 2,2 % contra referencia 3-4,7 %, classificado 'Baixo'";SIM - duas matrizes, dois metodos, duas datas. A C3 R2 W6 confirma explicitamente que a S10 SOBREVIVE inteira.
ABI-12;nutricao;Solo pobre no B3 (bloco do foco ESTE);INCONCLUSIVA;INCONCLUSIVA;NAO DERIVAVEL DO TEXTO;—;;B3, 9.92 ha;"C1 S8 (minimo de nove boletins em cinco de sete parametros) contra C1 S9 (um boletim nao caracteriza um bloco; dentro do";nenhum
ABI-13;substrato;Compactacao / asfixia radicular;NAO TESTADA;NUNCA PROCURADA;NUNCA PROCURADA;R1;ambito;nenhum ponto;nenhuma medicao de resistencia, porosidade ou oxigenio;nenhum
ABI-14;quimica;Fitotoxicidade, herbicida ou residuo;NAO TESTADA;NUNCA PROCURADA;NUNCA PROCURADA;R1;ambito;nenhum ponto;nenhum ensaio existe;nenhum
ABI-15;quimica;Salinidade;NAO TESTADA;NUNCA PROCURADA;NUNCA PROCURADA;R1;ambito;nenhum ponto;os boletins A2 nao trazem condutividade reportada nesta cadeia;nenhum
GES-01;gestao;Renovacao de pomar no nucleo N3 (arranque e replantacao);NAO TESTADA;CONTRADITA EM PARTE;COM INSTRUMENTO INDEPENDENTE;R6;instrumento independente;SIM - LiDAR (geometria) contra piso de Inverno (optico) contra parcelario (documento);A favor: L3/nota do parcelario (0,27 m de altura em 06-07-2025, disco de 70 m) e IFAP a declarar KIWI a 10-06-2025. Cont;SIM - LiDAR (geometria) contra piso de Inverno (optico) contra parcelario (documento)
GES-02;gestao;Chao limpo mantido no N3 (sem replantacao);NAO TESTADA;FAVORECIDA SEM CONFIRMACAO;COM INSTRUMENTO INDEPENDENTE;R6;instrumento independente;SIM - LiDAR contra piso de Inverno;ADVERSARIO_2026-08-29 R8/W6: piso de Inverno 0,654 em 2024/25 contra 0,358 da referencia, e queda a 0,497 em 2025/26;SIM - LiDAR contra piso de Inverno
GES-03;gestao;Operacao de gestao (arranque, poda severa, desmontagem de pergola) no ;NAO TESTADA;CONSTRANGIDA, NAO EXCLUIDA;COM INSTRUMENTO INDEPENDENTE;R6;instrumento independente;SIM - LiDAR (altura) contra ortofoto 2021 (estrutura) contra serie;Constrangida por: L3 (2,25 m e 90,2 % de copado no disco OESTE em 06-07-2025), pct_nu2021 = 0.0 % na v8, e 93 % do defic;SIM - LiDAR (altura) contra ortofoto 2021 (estrutura) contra serie
GES-04;gestao;Operacao de gestao no foco ESTE / lado oriental;NAO TESTADA;NUNCA PROCURADA;NAO DERIVAVEL DO TEXTO;—;;B3, v12-v15, E530977 N4655117;"C2 adversario parte 3: os dados nao distinguem copado em declinio de copado arrancado, replantado ou re-armado; T3 nao c";nenhum para 2026
GES-05;material;Porta-enxerto (Summer Kiwi contra pe franco Erica);INCONCLUSIVA;INCONCLUSIVA;COM INSTRUMENTO INDEPENDENTE;R6;instrumento independente;"SIM para H2a (radar em duas orbitas); NENHUM valido para H2b";_MULTIVERSO/AGREGACAO_H2.md, H2b: INCONCLUSIVO no agregado;"SIM para H2a (radar em duas orbitas); NENHUM valido para H2b"
GES-06;material;Sobre-enxertia de 2016 (Enza Gold) e ~2020 (Erica);NAO TESTADA;NAO E CAUSA CANDIDATA NO CORPO PRINCIPAL;NAO DERIVAVEL DO TEXTO;—;;B1, valvulas 2-5;"G36; AGREGACAO_H2: e o confundimento que absorve GES-05";nenhum
GES-07;gestao;Rede de sombreamento;NAO TESTADA;NAO E CAUSA CANDIDATA NO CORPO PRINCIPAL;NAO DERIVAVEL DO TEXTO;—;;B1 apenas, no periodo do Enza Gold;"G32/G36: houve rede, e SO no B1; o corpo principal nunca teve";testemunho do gestor (tipo 1)
GES-08;material;Idade / data de plantacao das 5,37 ha novas;NAO TESTADA;NUNCA PROCURADA;COM INSTRUMENTO INDEPENDENTE;R6;instrumento independente;SIM - prominencia de pergola em ortofoto, dentro de cada imagem;C2 V6 na formulacao estreita de W1;SIM - prominencia de pergola em ortofoto, dentro de cada imagem
REG-01;regional;Fenomeno regional ou sectorial - 'todo o kiwi deste aluviao fez isto';NAO TESTADA;NUNCA PROCURADA COM O INSTRUMENTO CERTO;NAO DERIVAVEL DO TEXTO;—;;"o aluviao; nao ha controlo a menos de 3 km";G26 (varrimento de ~3 km, 13 candidatos, 11 falsos positivos, nenhum kiwi contemporaneo) mais AGREGACAO_H2 H2-4;nenhum verificado
REG-02;regional;Perda de condicao EM BLOCO de todo o corpo principal desde 2023;SUSTENTADA;SUSTENTADA-LOCAL;NAO DERIVAVEL DO TEXTO;—;;corpo principal, janela 2021-2026;"AGREGACAO_H2 H2-3: -0,054 NDVI em cinco anos com 98,5 % dos pixeis a participar; sobrevive a bordadura, vizinhanca, dens";NAO na lista fechada - a serie Landsat (outra agencia, outro sensor) media-o e o adversario da adenda disse que devia te
INS-01;instrumento;Vies de calibracao do Sentinel-2C como explicacao da queda de nivel;EXCLUIDA;EXCLUIDA;COM INSTRUMENTO INDEPENDENTE;R6;instrumento independente;SIM - quatro corridas independentes, com personas e desenhos diferentes, que e a forma de agregacao que Botvinik-Nezer 2;_MULTIVERSO/ADVERSARIO_H1.md: QUATRO medicoes emparelhadas de quatro corridas independentes - A(H1) -0,056 em NDRE e sem;SIM - quatro corridas independentes, com personas e desenhos diferentes, que e a forma de agregacao que Botvinik-Nezer 2
INS-06;instrumento;Efeito do S2C sobre as estatisticas de CAUDA (desvio-padrao, assimetri;NAO TESTADA;NUNCA PROCURADA;NAO DERIVAVEL DO TEXTO;—;;as duas cenas S2C, fora do pomar;W3 do adversario da C2: o unico controlo de cena existente corre sobre a MEDIA;nenhum
REG-03;regional;A paisagem envolvente cai MAIS do que o pomar (enquadramento invertido;NAO TESTADA;RESOLVIDA - ERA DIVERGENCIA DE DEFINICAO;NAO DERIVAVEL DO TEXTO;—;;o envolvente do bloco, 2024-2026;_MULTIVERSO/ADVERSARIO_H1.md: a corrida B imprimiu que a vegetacao envolvente caiu 0,075 entre 2024 e 2026 - o DOBRO da ;nenhum - e uma divergencia entre duas corridas, nao uma medicao
INS-02;instrumento;Artefacto de fenologia (dia-do-ano);EXCLUIDA;EXCLUIDA-CONDICIONAL;NAO DERIVAVEL DO TEXTO;—;;o salto de 2024 para 2026;"C2 V11: a barra de erro da serie e ~3 ha e vem MEDIDA; o salto de 2,91 para 7,86 ha e de 4,95 ha e sobrevive";sonda fenologica dentro da propria serie - NAO e instrumento independente, e a C2 declara-o
INS-03;instrumento;Referencia contaminada geometricamente pelos discos dos focos;SUSTENTADA;SUSTENTADA;COM INSTRUMENTO INDEPENDENTE;R6;instrumento independente;"SIM - mascara de estrutura (ortofoto) contra serie de reflectancia; mais media contra mediana como segunda via";"C3-R2 B10: 18 de 110 (16,4 %) caem nos discos de 90 m; retira-las desloca a mediana +0,0133 em 2026 e < 0,0025 em todas ";"SIM - mascara de estrutura (ortofoto) contra serie de reflectancia; mais media contra mediana como segunda via"
INS-04;instrumento;A propria referencia sistematica esta em declinio (nao e controlo sao);SUSTENTADA;SUSTENTADA-LOCAL;NAO DERIVAVEL DO TEXTO;—;;as 110 celulas da referencia, 2017-2026;G6/G25 (a referencia sistematica DESCE, 0,8884 -> 0,8425, -0,00395/ano) + C3-R2 B10 segunda via (T4) + concordancia com ;NAO - falta a serie Landsat, que e outra agencia e outro sensor, esta em disco e NAO entrou em nenhuma lista fechada
INS-05;instrumento;'Os focos perdem agua antes de verdura' (NDMI contra NDVI);NAO TESTADA;LEITURA RETIRADA - NAO E CAUSA CANDIDATA;NAO DERIVAVEL DO TEXTO;—;;nenhum - a leitura esta retirada;ADVERSARIO_2026-08-29 R6: RETIRADA por dois motivos;nenhum - NDVI e NDMI partilham a banda NIR
