id;classe;causa;estatuto_C4;estatuto_C5;procurado_onde;resultado;n;poder_do_desenho;o_que_falta;custo;consequencia;decisao_C5;decisao_detalhe;nota_C5;origem_da_alteracao
BIO-11;biologia;Armillaria sp. (solo);EXCLUIDA-LOCAL;EXCLUIDA-LOCAL;"1 ponto - granel 331/2025, zona do testemunho (metade ocidental de um nucleo de 2,4-4,0 ha adjacente ao foco OESTE), colheita 2025-06-06; matriz SOLO";NEGATIVO;1;idem BIO-10;"repeticao noutro ponto e noutra data; e a sensibilidade declarada de um composto de solo para organismo de distribuicao em manchas, que nao existe em lado nenhum";BAIXO;MEDIA;PROCURAR;PROCURAR (vem no mesmo painel);o segundo negativo desta linha e o informe 240/2023, Ribadumia, REJEITADO.;"mantida; ambito corrigido (R2)"
BIO-12;biologia;Rosellinia sp. (solo);EXCLUIDA-LOCAL;EXCLUIDA-LOCAL;"1 ponto - granel 331/2025, zona do testemunho (metade ocidental de um nucleo de 2,4-4,0 ha adjacente ao foco OESTE), colheita 2025-06-06; matriz SOLO";NEGATIVO;1;idem BIO-10;envio da amostra de raiz colhida em 2026-08-04 e nunca enviada;NULO;ALTA;PROCURAR;PROCURAR;NAO toca a observacao de campo de 2026-08-04, que e RAIZ, outra planta, catorze meses DEPOIS (B9). Ver BIO-13.;"mantida; ambito corrigido (R2)"
BIO-13;biologia;Rosellinia sp. (raiz);NAO TESTADA;ENCONTRADA SEM ENSAIO;"1 ponto - observacao macroscopica de campo, 2026-08-04, uma planta arrancada, local NAO especificado; amostra colhida e NAO enviada";POSITIVO macroscopico, por confirmar;1;nenhum: identificacao macroscopica, sem confirmacao molecular;enviar a amostra que ja esta colhida, e registar a coordenada da planta;NULO;ALTA;PROCURAR;PROCURAR - PRIORIDADE 1;e o UNICO organismo que um observador de campo nomeou neste caso. A linha RAIZ nao existe na matriz: o unico negativo que se lhe pode opor e de SOLO e de catorze meses ANTES. Custo de um envelope. CONTEXTO NOVO DE 29-08, E NAO E PROMOCAO: o gestor confirmou que identificou NO TERRENO um vazio aproximadamente circular no interior do talhao, que nao respeita fronteira de parcela nem de valvula. Forma circular e compativel com Armillaria, Rosellinia e Phytophthora e NAO DISTINGUE ENTRE ELES: nao promove esta linha nem exclui nenhuma outra. O que muda e que a amostra vale mais se se souber ONDE estava a planta arrancada em relacao ao vazio — e isso e uma pergunta de uma linha ao mesmo observador. Enviar a amostra E perguntar a posicao.;"reetiquetagem C5: nao e 'ninguem procurou' - alguem procurou, no campo, e encontrou; o que falta e o ensaio"
BIO-14;biologia;Oomicetes (geral) (solo);EXCLUIDA-LOCAL;EXCLUIDA-LOCAL;"1 ponto - granel 331/2025, zona do testemunho (metade ocidental de um nucleo de 2,4-4,0 ha adjacente ao foco OESTE), colheita 2025-06-06; matriz SOLO";NEGATIVO;1;idem BIO-10;ensaio de oomicetas em RAIZ, em Ganfei;BAIXO;ALTA;PROCURAR;PROCURAR (a perna RAIZ, que e BIO-23);NAO cobre o compartimento raiz: e na RAIZ que a MESMA amostra da POSITIVO a Globisporangium intermedium, que e um oomiceta (BIO-09).;"mantida; ambito corrigido (R2)"
BIO-15;biologia;Oomicetes (geral) (raiz);NAO TESTADA;SO FORA DE GANFEI;"0 pontos de Ganfei; 1 ponto em Ribadumia (informe 240/2023, Kiwi Atlantico), fonte REJEITADA";"POSITIVO em Espanha; ZERO informacao sobre Ganfei em qualquer sentido";0 em Ganfei;nulo: nao ha ensaio de Ganfei nesta linha;ensaio destas linhas em Ganfei;BAIXO;ALTA;PROCURAR;PROCURAR (vem no mesmo painel de raiz);ARMADILHA DE NOME ACTIVA: o talhao espanhol chama-se 'B-3/C-3' e o bloco do foco ESTE chama-se 'B3'. Ler um resultado espanhol como Ganfei exclui organismos do lado oriental sem nenhum dado de Ganfei.;"reetiquetagem C5 (era NAO TESTADA; adversario da C4 3.2)"
BIO-16;biologia;Meloidogyne hapla como explicacao do contraste entre os focos;EXCLUIDA;INCONCLUSIVA;4 unidades com posicao (B3, B4, V7, Erica Novo E), 2026-05-06;"POSITIVO em 4/4; rho(defice,solo) = -0,40 e rho(defice,raiz) = -0,80 - sinal NEGATIVO, mais nematodes onde ha MENOS defice";4;"NULO POR DESENHO: com n=4 o p exacto de |rho|=1 e 2/4! = 0,083; o desenho nao podia produzir significancia em nenhum sentido, quaisquer que fossem os dados. E as 4 unidades misturam DUAS particoes (tres blocos de 4,17-9,92 ha e uma valvula de 3,25 ha da particao de Voronoi)";as mesmas contagens em >= 8 unidades comparaveis da MESMA particao, ou o mesmo par em terreno sem historico de defice;MEDIO;BAIXA;NAO PROCURAR;NAO PROCURAR - ver BIO-17;ERA EXCLUIDA. O verbo 'excluido' cai: um ensaio que nao pode rejeitar nao e um ensaio. O que aguenta e o SINAL - nao ha gradiente na direccao causal, e a carga mais alta (250/200 cc) esta no B1, que NAO TEM POSICAO.;R5 do adversario da C4 - alteracao obrigatoria 5
BIO-17;biologia;Meloidogyne hapla como stress de fundo do corpo inteiro;NAO TESTADA;ENCONTRADA SEM NIVEL NORMAL;5 unidades (4 com posicao + B1 sem posicao), 2026-05-06;POSITIVO em todas;5 unidades / 6 amostras;"mede presenca; nao mede se a presenca e anormal";um NIVEL DE REFERENCIA EXTERNO - que contagem e normal em kiwi sao desta regiao. G26 diz que nao ha kiwi de controlo a 3 km, logo NAO se resolve com mais contagens locais: resolve-se com literatura ou com a prevalencia do proprio laboratorio;NULO;MEDIA;PROCURAR;PROCURAR, mas por PERGUNTA e nao por campanha;Um organismo presente em todas as unidades e exactamente o que produziria uma perda EM BLOCO (REG-02) em vez de um contraste. BIO-16 nao diz nada sobre isto.;"reetiquetagem C5 (era NAO TESTADA; adversario da C4 3.2)"
BIO-18;biologia;Dactylonectria sp. (raiz);NAO TESTADA;SO FORA DE GANFEI;"0 pontos de Ganfei; 1 ponto em Ribadumia (informe 240/2023, Kiwi Atlantico), fonte REJEITADA";"POSITIVO em Espanha; ZERO informacao sobre Ganfei em qualquer sentido";0 em Ganfei;nulo: nao ha ensaio de Ganfei nesta linha;ensaio destas linhas em Ganfei;BAIXO;ALTA;PROCURAR;PROCURAR (vem no mesmo painel de raiz);ARMADILHA DE NOME ACTIVA: o talhao espanhol chama-se 'B-3/C-3' e o bloco do foco ESTE chama-se 'B3'. Ler um resultado espanhol como Ganfei exclui organismos do lado oriental sem nenhum dado de Ganfei.;"reetiquetagem C5 (era NAO TESTADA; adversario da C4 3.2)"
BIO-19;biologia;Fusarium sp. (raiz);NAO TESTADA;SO FORA DE GANFEI;"0 pontos de Ganfei; 1 ponto em Ribadumia (informe 240/2023, Kiwi Atlantico), fonte REJEITADA";"POSITIVO em Espanha; ZERO informacao sobre Ganfei em qualquer sentido";0 em Ganfei;nulo: nao ha ensaio de Ganfei nesta linha;ensaio destas linhas em Ganfei;BAIXO;MEDIA;PROCURAR;PROCURAR (vem no mesmo painel de raiz);ARMADILHA DE NOME ACTIVA: o talhao espanhol chama-se 'B-3/C-3' e o bloco do foco ESTE chama-se 'B3'. Ler um resultado espanhol como Ganfei exclui organismos do lado oriental sem nenhum dado de Ganfei.;"reetiquetagem C5 (era NAO TESTADA; adversario da C4 3.2)"
BIO-20;biologia;Ilyonectria liriodendri (raiz);NAO TESTADA;SO FORA DE GANFEI;"0 pontos de Ganfei; 1 ponto em Ribadumia (informe 240/2023, Kiwi Atlantico), fonte REJEITADA";"POSITIVO em Espanha; ZERO informacao sobre Ganfei em qualquer sentido";0 em Ganfei;nulo: nao ha ensaio de Ganfei nesta linha;ensaio destas linhas em Ganfei;BAIXO;ALTA;PROCURAR;PROCURAR (vem no mesmo painel de raiz);ARMADILHA DE NOME ACTIVA: o talhao espanhol chama-se 'B-3/C-3' e o bloco do foco ESTE chama-se 'B3'. Ler um resultado espanhol como Ganfei exclui organismos do lado oriental sem nenhum dado de Ganfei.;"reetiquetagem C5 (era NAO TESTADA; adversario da C4 3.2)"
BIO-21;biologia;Rhizoctonia solani (raiz);NAO TESTADA;SO FORA DE GANFEI;"0 pontos de Ganfei; 1 ponto em Ribadumia (informe 240/2023, Kiwi Atlantico), fonte REJEITADA";"POSITIVO em Espanha; ZERO informacao sobre Ganfei em qualquer sentido";0 em Ganfei;nulo: nao ha ensaio de Ganfei nesta linha;ensaio destas linhas em Ganfei;BAIXO;MEDIA;PROCURAR;PROCURAR (vem no mesmo painel de raiz);ARMADILHA DE NOME ACTIVA: o talhao espanhol chama-se 'B-3/C-3' e o bloco do foco ESTE chama-se 'B3'. Ler um resultado espanhol como Ganfei exclui organismos do lado oriental sem nenhum dado de Ganfei.;"reetiquetagem C5 (era NAO TESTADA; adversario da C4 3.2)"
BIO-22;biologia;Phytophthora sojae;NAO TESTADA;NUNCA PROCURADA;0 pontos com posicao. A unica mencao esta na coluna Notes do registo 79 (Becrop 2023-08), relatorio SEM PARCELA ASSOCIADA, noutra freguesia;mencao documental sem lugar;0;nulo;ensaio dirigido, com posicao;BAIXO;BAIXA;NAO PROCURAR;NAO PROCURAR DIRIGIDO - cobre-se por BIO-23;O CONTROLOS.md lista este organismo como o SEGUNDO dos tres erros que custaram semanas a este processo. Nomea-lo num pedido de analise e reintroduzi-lo. O isolamento selectivo de oomicetas em raiz (BIO-23) encontra-o se la estiver, sem o nomear. NAO PROMOVER.;reetiquetagem C5: rotulo confirmado, decisao invertida
BIO-23;biologia;Phytophthora spp. em raiz ou colo;NAO TESTADA;NUNCA PROCURADA;0 pontos de Ganfei em matriz RAIZ ou COLO. O unico negativo de oomicetas com lugar e em SOLO (BIO-14);sem ensaio;0;nulo;isolamento selectivo de oomicetas em raiz e colo;BAIXO;ALTA;PROCURAR;PROCURAR - PRIORIDADE 1;A MESMA amostra que da negativo a oomicetas em solo da POSITIVO a um oomiceta na raiz. Ler o negativo de solo como exclusao de Phytophthora e um dos rejeitados explicitos da C4.;reetiquetagem C5: rotulo confirmado
BIO-24;biologia;Pseudomonas syringae pv. actinidiae (PSA) e cancro bacteriano;NAO TESTADA;NUNCA PROCURADA;0 pontos, 0 datas, 0 matrizes - em todo o caso;sem ensaio;0;nulo. NAO EXISTE UMA UNICA LINHA BACTERIANA EM TODA A MATRIZ: os 15 taxa sao fungos, oomicetas e um nematode;um ensaio bacteriologico, em qualquer ponto;BAIXO;ALTA;PROCURAR;PROCURAR - PRIORIDADE 1;"A PSA e o patogeno de referencia do kiwi na Europa e tem prevalencia regional conhecida na literatura - e a UNICA linha deste livro que se pode comparar com um valor de fora do caso sem campanha nenhuma. Isto nao e um resultado negativo; e a ausencia do ensaio.";reetiquetagem C5: rotulo confirmado
BIO-25;biologia;Outras bacterias de raiz, colo ou vaso;NAO TESTADA;NUNCA PROCURADA;0 pontos;sem ensaio;0;nulo;um ensaio bacteriologico;BAIXO;MEDIA;PROCURAR;PROCURAR (vem com BIO-24);idem BIO-24.;reetiquetagem C5: rotulo confirmado
BIO-26;biologia;Virus e viroides;NAO TESTADA;NUNCA PROCURADA;0 pontos;sem ensaio;0;nulo;serologia ou RT-PCR dirigida;MEDIO;BAIXA;NAO PROCURAR;NAO PROCURAR NESTA RONDA;Nenhum sintoma descrito no caso aponta para virose, e nao ha linha de base. CONTINUA NAO EXCLUIDA e o relatorio tem de a levar assim.;reetiquetagem C5: rotulo confirmado
BIO-27;biologia;Nematodes que nao Meloidogyne hapla;NAO TESTADA;NUNCA PROCURADA;0 pontos para generos que nao Meloidogyne. Os cinco informes 339-343/2026 contam J2+ovos de M. hapla e mais nada;sem ensaio;0;nulo;analise nematologica de espectro largo;BAIXO;MEDIA;PROCURAR;PROCURAR (linha a mais nas mesmas amostras);E a unica via pela qual o achado 'M. hapla esta em todo o lado' se pode re-ler: se outro genero tiver gradiente, o quadro nematologico muda.;reetiquetagem C5: rotulo confirmado
ABI-01;substrato;Declive / posicao em encosta;EXCLUIDA;EXCLUIDA;todo o poligono;"0,336 / 0,406 / 0,427 graus, p = 0,20; tudo abaixo de 0,5";~3031 celulas;sobra;nada;-;-;JA FECHADA;FECHADA;LiDAR/MDT contra serie optica: instrumento independente a serio. 'Encosta' e categoricamente falso para os dois focos.;mantida - uma das tres exclusoes genuinas do livro
ABI-02;substrato;Posicao topografica humida / acumulacao de agua como explicacao do padrao;EXCLUIDA;EXCLUIDA;as onze cenas, todo o poligono;rho da cota NEGATIVO nas onze cenas (-0,20 a -0,46, p < 1e-24): o defice esta no terreno ALTO, nao no baixo;~2200 celulas;sobra;nada para a versao global. A PERNA DO TWI e outra coisa: sobre pomar nivelado o ln(a/tan b) nao tem gama, logo rho ~ 0 nao e informacao. Essa sub-linha e NUNCA PROCURADA por falta de gama do instrumento, e o log que imprimia o intervalo do TWI nao foi guardado;-;-;JA FECHADA;FECHADA (excepto a perna do TWI);Hipotese fixada ANTES de correr, na direccao certa, e CONTRADITA. E o modelo do que uma exclusao deve ser. A ressalva do TWI estava no campo de texto livre e a coluna dizia EXCLUIDA - passa a estar na coluna.;"mantida; perna do TWI separada (adversario da C4 3.1 e 3.3)"
ABI-03;substrato;Agua concentrada no foco OESTE (posicao hidraulica local);SUSTENTADA;SUSTENTADA-LOCAL;"foco OESTE E530485 N4655053 e foco ESTE E530977 N4655117; LiDAR, uma campanha de voo";"altura sobre a drenagem 0,130 m (OESTE) / 0,150 (referencia) / 0,353 (ESTE); distancia a drenagem 13,4 / 23,6 / 55,8 m";uma campanha;suficiente para o contraste ESTE, insuficiente para o contraste OESTE;"uma margem vertical declarada para o MDT, que nao existe em lado nenhum; e sonda de humidade de solo instalada no foco OESTE e na referencia";MEDIO;MEDIA;NAO PROCURAR;"NAO PROCURAR NESTA RONDA (sondas); REESCREVER a linha";REESCRITA. O titulo antigo era 'agua concentrada no foco OESTE' e assentava num contraste OESTE-contra-referencia de 0,020 m - dois centimetros, uma ordem de grandeza abaixo da exactidao vertical tipica de um MDT LiDAR agricola, sem margem declarada. O que S6 sustenta e o OUTRO lado: o foco ESTE esta sensivelmente mais alto sobre a drenagem (0,353 contra 0,130/0,150), contraste de mais de 2x que sobrevive a qualquer margem razoavel. E facto de SUBSTRATO, nao causa.;M8 do adversario da C4 + R10 (cria-se SUSTENTADA-LOCAL)
ABI-04;rega;Topologia da rede de rega / efeito de agrupamento por valvula;EXCLUIDA;EXCLUIDA-INTERNA;as onze cenas, agrupamento por valvula;o agrupamento fica dentro do nulo rodado em todas as onze cenas (p 0,175 a 0,64);12 valvulas x 11 cenas;declarado antes de correr e cumprido;nada para o AGRUPAMENTO;-;-;JA FECHADA;"FECHADA para agrupamento; NAO cobre ABI-05";SEM INSTRUMENTO INDEPENDENTE - e a mesma serie optica reagrupada, e o proprio campo do CSV di-lo. O Controlo 1 manda que um facto sem instrumento independente nao passe como excluido sem marca. A marca vai agora na coluna: e uma exclusao INTERNA a serie optica. Importa porque e numa valvula que esta a maior anomalia de radar do caso (ABI-05).;R8 do adversario da C4 - alteracao obrigatoria 8
ABI-05;rega;Falha ou avaria numa valvula unica (a v8);NAO TESTADA;NUNCA PROCURADA;v8, 2,78 ha, bloco B2, ponto de valvula a 34,5 m do foco OESTE;a v8 tem a maior anomalia negativa de VV do Inverno de 2025-26 por um factor de cinco (-0,660 dB contra -0,135 da segunda) - UM instrumento;1 unidade;"ABI-04 testa AGRUPAMENTO e um teste de agrupamento nao ve uma unidade isolada; o teste de 'ordem na rede' e invalido por desenho (a origem esta a 240 m do foco OESTE, logo 'distancia a origem' e quase 'distancia ao foco')";o registo de operacoes e de avarias de rega do B2 em 2024-2026;NULO;ALTA;PROCURAR;PROCURAR - PRIORIDADE 1;Uma valvula e uma unidade DE GESTAO, nao uma unidade biologica. E na v8 que 93 % do defice de 2026 e declinio NOVO sobre 0 % de chao lavrado em 2021 - o unico sitio do caso onde o confundente da taxa de base nao existe. Fecha-se com um documento, nao com uma analise.;reetiquetagem C5: rotulo confirmado
ABI-06;rega;Qualidade da agua / origem unica da rega;NAO TESTADA;NUNCA PROCURADA;0 pontos - nenhum ensaio de agua existe no caso;sem ensaio;0;nulo;uma analise de agua da origem;BAIXO;MEDIA;PROCURAR;PROCURAR;A origem e UNICA e esta declarada na C1. Uma causa na agua produziria perda EM BLOCO (REG-02, SUSTENTADA-LOCAL) e nao um contraste entre focos - que e exactamente o padrao que o caso tem por explicar. Uma analise.;reetiquetagem C5: rotulo confirmado
ABI-07;clima;Stress termico;NAO TESTADA;NUNCA PROCURADA;0 pontos. A linha termica DIURNA esta RETIRADA (S17): o acoplamento dT-dNDVI e -0,925 no controlo interno FORA do pomar, logo e generico da superficie;sem ensaio da causa;0;nulo. Caiu o INSTRUMENTO, nao a causa;LST nocturno, ou temperatura de solo medida;ALTO;BAIXA;NAO PROCURAR;NAO PROCURAR NESTA RONDA;"S5 e S6 estabelecem que os dois focos tem substratos OPOSTOS em todas as variaveis que os separam; um forcante climatico comum e mau candidato a discriminante. CONTINUA NAO EXCLUIDA. NAO RESSUSCITAR a linha termica diurna em nenhuma forma.";reetiquetagem C5: rotulo confirmado
ABI-08;clima;Precipitacao / seca como discriminante ESPACIAL;EXCLUIDA;NUNCA PROCURADA;0 pontos. Nenhum produto de precipitacao disponivel RESOLVE os 496 m que separam os dois focos;sem ensaio a esta escala;0;nulo: a limitacao e do instrumento, nao um facto sobre a chuva;um udometro em cada foco, ou radar meteorologico a 1 km com composicao sub-horaria;ALTO;BAIXA;NAO PROCURAR;NAO PROCURAR;"ERA EXCLUIDA. A premissa que teria de ser verdade e que a precipitacao NAO VARIA a 496 m; o que esta medido e que nenhum produto a MOSTRA a 496 m. Celula convectiva de Verao varia bem abaixo do quilometro. Isto e, literalmente, 'nao temos instrumento a esta escala, logo a causa esta excluida' - a operacao que este livro-razao existe para impedir. Dois udometros so diriam alguma coisa daqui a anos e o acontecimento e de 2025-2026. CONTINUA NAO EXCLUIDA.";R6 do adversario da C4 - alteracao obrigatoria 6
ABI-09;clima;Seca ou excesso de agua como causa do ANO de 2026;NAO TESTADA;NUNCA PROCURADA;"0 pontos. ABI-08 exclui a chuva como discriminante ENTRE FOCOS; nao diz nada sobre o ANO";sem ensaio;0;nulo;o controlo externo de REG-01;-;ALTA;PROCURAR;PROCURAR POR VIA DE REG-01 (nao tem via propria);Sem controlo externo (G26) um ano mau da regiao e indistinguivel de um ano mau da parcela. A medicao de paisagem de 29-08 aperta isto - a mata madura nao caiu - mas nao o fecha, porque a classe 'kiwi' dessa medicao CONTEM Ganfei. Ver REG-01 e REG-03.;reetiquetagem C5: rotulo confirmado
ABI-10;substrato;Nivelamento e truncatura do perfil de solo;NAO TESTADA;NUNCA PROCURADA;0 pontos. NAO EXISTE UMA UNICA DESCRICAO DE PERFIL DE SOLO EM TODO O CASO;S18 e S19 medem FORMA DA SUPERFICIE, nao perfil: o pomar e duas vezes mais plano que o envolvente (p = 3,2e-10) e a rugosidade a 25 m do foco ESTE excede a referencia (+0,0379 m, p = 1,3e-18) enquanto a do OESTE nao (p = 0,058);0 perfis;"nulo para a causa; a propria S18 diz 'compativel, nao e prova'";duas fossas de perfil - uma no foco, uma no par sao;MEDIO;ALTA;PROCURAR;PROCURAR;"'Solo truncado logo enraizamento superficial' e a INFERENCIA; o que esta medido e a forma da superficie. E a hipotese abiotica que melhor acomodaria ao mesmo tempo REG-02 (perda em bloco) e um contraste leste-oeste, e nenhum instrumento lhe tocou. Nota de sequencia: a prova de S19 esta do lado ORIENTAL, que e o lado confundido com operacoes (GES-04) - as fossas orientais so sao interpretaveis DEPOIS do registo de operacoes.";reetiquetagem C5: rotulo confirmado
