Record_ID,Source_File,Doc_Type,Report_No,Client_Titular,Terrain_Block_Parcel,Parish_Municipality,Parcelario_No,Sample_Date,Received_Date,Result_Date,Matrix,Test_Category,Method,Organism_Parameter,Result,Value,Unit,Interpretation,Lab_Provider,Location_Confidence,Notes
11,6_junho_2025_microbiologia_de_solo.pdf,Relatório Laboratorial - Fitopatologia (fungos/oomicetas/nemátodos),331/2025 V.1 (expediente 2025045292),Kiwi 1000 (sample identifier),NÃO ESPECIFICADO - amostra composta/global identificada como 'Kiwi 1000' (sem código de talhão indicado),"Not stated in this report (orchard client context = Ganfei, Valença)",,2025-06-06,2025-06-06,2025-07-07,Raiz,Fitopatologia fúngica,Morfolóxica,Fusarium oxysporum,POSITIVO,,n/d,Organismo associado à raiz,"Estación Fitopatolóxica Areeiro (Pontevedra, ES)",DESCONHECIDO - alerta: sem código de terreno/talhão no documento de origem,
12,6_junho_2025_microbiologia_de_solo.pdf,Relatório Laboratorial - Fitopatologia (fungos/oomicetas/nemátodos),331/2025 V.1 (expediente 2025045292),Kiwi 1000 (sample identifier),NÃO ESPECIFICADO - amostra composta/global identificada como 'Kiwi 1000' (sem código de talhão indicado),"Not stated in this report (orchard client context = Ganfei, Valença)",,2025-06-06,2025-06-06,2025-07-07,Raiz,Fitopatologia fúngica,Morfolóxica,Fusarium solani,POSITIVO,,n/d,Organismo associado à raiz,"Estación Fitopatolóxica Areeiro (Pontevedra, ES)",DESCONHECIDO - alerta: sem código de terreno/talhão no documento de origem,
13,6_junho_2025_microbiologia_de_solo.pdf,Relatório Laboratorial - Fitopatologia (fungos/oomicetas/nemátodos),331/2025 V.1 (expediente 2025045292),Kiwi 1000 (sample identifier),NÃO ESPECIFICADO - amostra composta/global identificada como 'Kiwi 1000' (sem código de talhão indicado),"Not stated in this report (orchard client context = Ganfei, Valença)",,2025-06-06,2025-06-06,2025-07-07,Raiz,Fitopatologia fúngica,Morfolóxica/Molecular,Neofusicoccum parvum,POSITIVO,,n/d,Organismo associado à raiz,"Estación Fitopatolóxica Areeiro (Pontevedra, ES)",DESCONHECIDO - alerta: sem código de terreno/talhão no documento de origem,
14,6_junho_2025_microbiologia_de_solo.pdf,Relatório Laboratorial - Fitopatologia (fungos/oomicetas/nemátodos),331/2025 V.1 (expediente 2025045292),Kiwi 1000 (sample identifier),NÃO ESPECIFICADO - amostra composta/global identificada como 'Kiwi 1000' (sem código de talhão indicado),"Not stated in this report (orchard client context = Ganfei, Valença)",,2025-06-06,2025-06-06,2025-07-07,Raiz,Nematologia,Morfolóxica/Molecular,Meloidogyne hapla,POSITIVO,,n/d,Organismo associado à raiz,"Estación Fitopatolóxica Areeiro (Pontevedra, ES)",DESCONHECIDO - alerta: sem código de terreno/talhão no documento de origem,
15,6_junho_2025_microbiologia_de_solo.pdf,Relatório Laboratorial - Fitopatologia (fungos/oomicetas/nemátodos),331/2025 V.1 (expediente 2025045292),Kiwi 1000 (sample identifier),NÃO ESPECIFICADO - amostra composta/global identificada como 'Kiwi 1000' (sem código de talhão indicado),"Not stated in this report (orchard client context = Ganfei, Valença)",,2025-06-06,2025-06-06,2025-07-07,Raiz,Fitopatologia de oomicetas,Morfolóxica/Molecular,Globisporangium intermedium,POSITIVO,,n/d,Organismo associado à raiz,"Estación Fitopatolóxica Areeiro (Pontevedra, ES)",DESCONHECIDO - alerta: sem código de terreno/talhão no documento de origem,
16,6_junho_2025_microbiologia_de_solo.pdf,Relatório Laboratorial - Fitopatologia (fungos/oomicetas/nemátodos),331/2025 V.1 (expediente 2025045292),Kiwi 1000 (sample identifier),NÃO ESPECIFICADO - amostra composta/global identificada como 'Kiwi 1000' (sem código de talhão indicado),"Not stated in this report (orchard client context = Ganfei, Valença)",,2025-06-06,2025-06-06,2025-07-07,Solo,Fitopatologia fúngica,Molecular (PE/EFA/102 BM),Armillaria sp.,NEGATIVO,,n/d,Rastreio de organismo veiculado pelo solo,"Estación Fitopatolóxica Areeiro (Pontevedra, ES)",DESCONHECIDO - alerta: sem código de terreno/talhão no documento de origem,
17,6_junho_2025_microbiologia_de_solo.pdf,Relatório Laboratorial - Fitopatologia (fungos/oomicetas/nemátodos),331/2025 V.1 (expediente 2025045292),Kiwi 1000 (sample identifier),NÃO ESPECIFICADO - amostra composta/global identificada como 'Kiwi 1000' (sem código de talhão indicado),"Not stated in this report (orchard client context = Ganfei, Valença)",,2025-06-06,2025-06-06,2025-07-07,Solo,Fitopatologia fúngica,Molecular (PE/EFA/102 BM),Rosellinia sp.,NEGATIVO,,n/d,Rastreio de organismo veiculado pelo solo,"Estación Fitopatolóxica Areeiro (Pontevedra, ES)",DESCONHECIDO - alerta: sem código de terreno/talhão no documento de origem,Está em conflito com a identificação macroscópica de Rosellinia feita pela equipa de campo numa planta arrancada (ver registo da nota de campo) - amostra/matriz diferente.
18,6_junho_2025_microbiologia_de_solo.pdf,Relatório Laboratorial - Fitopatologia (fungos/oomicetas/nemátodos),331/2025 V.1 (expediente 2025045292),Kiwi 1000 (sample identifier),NÃO ESPECIFICADO - amostra composta/global identificada como 'Kiwi 1000' (sem código de talhão indicado),"Not stated in this report (orchard client context = Ganfei, Valença)",,2025-06-06,2025-06-06,2025-07-07,Solo,Nematologia,Morfolóxica/Molecular,Meloidogyne hapla,POSITIVO,,n/d,Rastreio de organismo veiculado pelo solo,"Estación Fitopatolóxica Areeiro (Pontevedra, ES)",DESCONHECIDO - alerta: sem código de terreno/talhão no documento de origem,
19,6_junho_2025_microbiologia_de_solo.pdf,Relatório Laboratorial - Fitopatologia (fungos/oomicetas/nemátodos),331/2025 V.1 (expediente 2025045292),Kiwi 1000 (sample identifier),NÃO ESPECIFICADO - amostra composta/global identificada como 'Kiwi 1000' (sem código de talhão indicado),"Not stated in this report (orchard client context = Ganfei, Valença)",,2025-06-06,2025-06-06,2025-07-07,Solo,Fitopatologia de oomicetas,Morfolóxica,Oomicetes (general),NEGATIVO,,n/d,Rastreio de organismo veiculado pelo solo,"Estación Fitopatolóxica Areeiro (Pontevedra, ES)",DESCONHECIDO - alerta: sem código de terreno/talhão no documento de origem,
20,339_Kiwi.pdf,Relatório Laboratorial - Nematologia,339/2026 (expediente 2026039060),Fauna Útil SL (titular/submitting org),B1,Not restated in this report (orchard context = Ganfei/Kiwi 1000 Lda operation),,2026-05-06,2026-05-06,2026-05-25,Raiz,Nematologia,Morfolóxica/Molecular,Meloidogyne hapla,POSITIVO,,n/d,Presença de nemátodo das galhas radiculares / matriz raiz,"Estación Fitopatolóxica Areeiro (Pontevedra, ES)",Confirmado (código do talhão indicado no relatório),
21,339_Kiwi.pdf,Relatório Laboratorial - Nematologia,339/2026 (expediente 2026039060),Fauna Útil SL (titular/submitting org),B1,Not restated in this report (orchard context = Ganfei/Kiwi 1000 Lda operation),,2026-05-06,2026-05-06,2026-05-25,Solo,Nematologia,Morfolóxica/Molecular,Meloidogyne hapla,POSITIVO,,n/d,Presença de nemátodo das galhas radiculares / matriz solo,"Estación Fitopatolóxica Areeiro (Pontevedra, ES)",Confirmado (código do talhão indicado no relatório),
22,339_Kiwi.pdf,Relatório Laboratorial - Nematologia,339/2026 (expediente 2026039060),Fauna Útil SL (titular/submitting org),B1,Not restated in this report (orchard context = Ganfei/Kiwi 1000 Lda operation),,2026-05-06,2026-05-06,2026-05-25,Solo,Nematologia - contagem populacional,Contagem direta,"M. hapla J2 juveniles + eggs, per 200cc soil",Contagem,250,J2+ovos / 200cc de solo,Indicador de densidade populacional,"Estación Fitopatolóxica Areeiro (Pontevedra, ES)",Confirmado (código do talhão indicado no relatório),
23,339_Kiwi.pdf,Relatório Laboratorial - Nematologia,339/2026 (expediente 2026039060),Fauna Útil SL (titular/submitting org),B1,Not restated in this report (orchard context = Ganfei/Kiwi 1000 Lda operation),,2026-05-06,2026-05-06,2026-05-25,Raiz,Nematologia - contagem populacional,Contagem direta,"M. hapla J2 juveniles + eggs, per g root",Contagem,65,J2+ovos / g de raiz,Indicador de densidade populacional - B4 e B1 apresentam as cargas radiculares mais elevadas,"Estación Fitopatolóxica Areeiro (Pontevedra, ES)",Confirmado (código do talhão indicado no relatório),
24,340_Kiwi.pdf,Relatório Laboratorial - Nematologia,340/2026 (expediente 2026039060),Fauna Útil SL (titular/submitting org),B3,Not restated in this report (orchard context = Ganfei/Kiwi 1000 Lda operation),,2026-05-06,2026-05-06,2026-05-25,Raiz,Nematologia,Morfolóxica/Molecular,Meloidogyne hapla,POSITIVO,,n/d,Presença de nemátodo das galhas radiculares / matriz raiz,"Estación Fitopatolóxica Areeiro (Pontevedra, ES)",Confirmado (código do talhão indicado no relatório),
25,340_Kiwi.pdf,Relatório Laboratorial - Nematologia,340/2026 (expediente 2026039060),Fauna Útil SL (titular/submitting org),B3,Not restated in this report (orchard context = Ganfei/Kiwi 1000 Lda operation),,2026-05-06,2026-05-06,2026-05-25,Solo,Nematologia,Morfolóxica/Molecular,Meloidogyne hapla,POSITIVO,,n/d,Presença de nemátodo das galhas radiculares / matriz solo,"Estación Fitopatolóxica Areeiro (Pontevedra, ES)",Confirmado (código do talhão indicado no relatório),
26,340_Kiwi.pdf,Relatório Laboratorial - Nematologia,340/2026 (expediente 2026039060),Fauna Útil SL (titular/submitting org),B3,Not restated in this report (orchard context = Ganfei/Kiwi 1000 Lda operation),,2026-05-06,2026-05-06,2026-05-25,Solo,Nematologia - contagem populacional,Contagem direta,"M. hapla J2 juveniles + eggs, per 200cc soil",Contagem,28,J2+ovos / 200cc de solo,Indicador de densidade populacional,"Estación Fitopatolóxica Areeiro (Pontevedra, ES)",Confirmado (código do talhão indicado no relatório),
27,340_Kiwi.pdf,Relatório Laboratorial - Nematologia,340/2026 (expediente 2026039060),Fauna Útil SL (titular/submitting org),B3,Not restated in this report (orchard context = Ganfei/Kiwi 1000 Lda operation),,2026-05-06,2026-05-06,2026-05-25,Raiz,Nematologia - contagem populacional,Contagem direta,"M. hapla J2 juveniles + eggs, per g root",Contagem,37,J2+ovos / g de raiz,Indicador de densidade populacional - B4 e B1 apresentam as cargas radiculares mais elevadas,"Estación Fitopatolóxica Areeiro (Pontevedra, ES)",Confirmado (código do talhão indicado no relatório),
28,341_Kiwi.pdf,Relatório Laboratorial - Nematologia,341/2026 (expediente 2026039060),Fauna Útil SL (titular/submitting org),B4,Not restated in this report (orchard context = Ganfei/Kiwi 1000 Lda operation),,2026-05-06,2026-05-06,2026-05-25,Raiz,Nematologia,Morfolóxica/Molecular,Meloidogyne hapla,POSITIVO,,n/d,Presença de nemátodo das galhas radiculares / matriz raiz,"Estación Fitopatolóxica Areeiro (Pontevedra, ES)",Confirmado (código do talhão indicado no relatório),
29,341_Kiwi.pdf,Relatório Laboratorial - Nematologia,341/2026 (expediente 2026039060),Fauna Útil SL (titular/submitting org),B4,Not restated in this report (orchard context = Ganfei/Kiwi 1000 Lda operation),,2026-05-06,2026-05-06,2026-05-25,Solo,Nematologia,Morfolóxica/Molecular,Meloidogyne hapla,POSITIVO,,n/d,Presença de nemátodo das galhas radiculares / matriz solo,"Estación Fitopatolóxica Areeiro (Pontevedra, ES)",Confirmado (código do talhão indicado no relatório),
30,341_Kiwi.pdf,Relatório Laboratorial - Nematologia,341/2026 (expediente 2026039060),Fauna Útil SL (titular/submitting org),B4,Not restated in this report (orchard context = Ganfei/Kiwi 1000 Lda operation),,2026-05-06,2026-05-06,2026-05-25,Solo,Nematologia - contagem populacional,Contagem direta,"M. hapla J2 juveniles + eggs, per 200cc soil",Contagem,46,J2+ovos / 200cc de solo,Indicador de densidade populacional,"Estación Fitopatolóxica Areeiro (Pontevedra, ES)",Confirmado (código do talhão indicado no relatório),
31,341_Kiwi.pdf,Relatório Laboratorial - Nematologia,341/2026 (expediente 2026039060),Fauna Útil SL (titular/submitting org),B4,Not restated in this report (orchard context = Ganfei/Kiwi 1000 Lda operation),,2026-05-06,2026-05-06,2026-05-25,Raiz,Nematologia - contagem populacional,Contagem direta,"M. hapla J2 juveniles + eggs, per g root",Contagem,156,J2+ovos / g de raiz,Indicador de densidade populacional - B4 e B1 apresentam as cargas radiculares mais elevadas,"Estación Fitopatolóxica Areeiro (Pontevedra, ES)",Confirmado (código do talhão indicado no relatório),
32,342_Kiwi.pdf,Relatório Laboratorial - Nematologia,342/2026 (expediente 2026039060),Fauna Útil SL (titular/submitting org),V7,Not restated in this report (orchard context = Ganfei/Kiwi 1000 Lda operation),,2026-05-06,2026-05-06,2026-05-25,Raiz,Nematologia,Morfolóxica/Molecular,Meloidogyne hapla,POSITIVO,,n/d,Presença de nemátodo das galhas radiculares / matriz raiz,"Estación Fitopatolóxica Areeiro (Pontevedra, ES)",Confirmado (código do talhão indicado no relatório),
33,342_Kiwi.pdf,Relatório Laboratorial - Nematologia,342/2026 (expediente 2026039060),Fauna Útil SL (titular/submitting org),V7,Not restated in this report (orchard context = Ganfei/Kiwi 1000 Lda operation),,2026-05-06,2026-05-06,2026-05-25,Solo,Nematologia,Morfolóxica/Molecular,Meloidogyne hapla,POSITIVO,,n/d,Presença de nemátodo das galhas radiculares / matriz solo,"Estación Fitopatolóxica Areeiro (Pontevedra, ES)",Confirmado (código do talhão indicado no relatório),
34,342_Kiwi.pdf,Relatório Laboratorial - Nematologia,342/2026 (expediente 2026039060),Fauna Útil SL (titular/submitting org),V7,Not restated in this report (orchard context = Ganfei/Kiwi 1000 Lda operation),,2026-05-06,2026-05-06,2026-05-25,Solo,Nematologia - contagem populacional,Contagem direta,"M. hapla J2 juveniles + eggs, per 200cc soil",Contagem,202,J2+ovos / 200cc de solo,Indicador de densidade populacional,"Estación Fitopatolóxica Areeiro (Pontevedra, ES)",Confirmado (código do talhão indicado no relatório),
35,342_Kiwi.pdf,Relatório Laboratorial - Nematologia,342/2026 (expediente 2026039060),Fauna Útil SL (titular/submitting org),V7,Not restated in this report (orchard context = Ganfei/Kiwi 1000 Lda operation),,2026-05-06,2026-05-06,2026-05-25,Raiz,Nematologia - contagem populacional,Contagem direta,"M. hapla J2 juveniles + eggs, per g root",Contagem,72,J2+ovos / g de raiz,Indicador de densidade populacional - B4 e B1 apresentam as cargas radiculares mais elevadas,"Estación Fitopatolóxica Areeiro (Pontevedra, ES)",Confirmado (código do talhão indicado no relatório),
36,343_Kiwi.pdf,Relatório Laboratorial - Nematologia,343/2026 (expediente 2026039060),Fauna Útil SL (titular/submitting org),Erica Novo E,Not restated in this report (orchard context = Ganfei/Kiwi 1000 Lda operation),,2026-05-06,2026-05-06,2026-05-25,Raiz,Nematologia,Morfolóxica/Molecular,Meloidogyne hapla,POSITIVO,,n/d,Presença de nemátodo das galhas radiculares / matriz raiz,"Estación Fitopatolóxica Areeiro (Pontevedra, ES)",Confirmado (código do talhão indicado no relatório),
37,343_Kiwi.pdf,Relatório Laboratorial - Nematologia,343/2026 (expediente 2026039060),Fauna Útil SL (titular/submitting org),Erica Novo E,Not restated in this report (orchard context = Ganfei/Kiwi 1000 Lda operation),,2026-05-06,2026-05-06,2026-05-25,Solo,Nematologia,Morfolóxica/Molecular,Meloidogyne hapla,POSITIVO,,n/d,Presença de nemátodo das galhas radiculares / matriz solo,"Estación Fitopatolóxica Areeiro (Pontevedra, ES)",Confirmado (código do talhão indicado no relatório),
38,343_Kiwi.pdf,Relatório Laboratorial - Nematologia,343/2026 (expediente 2026039060),Fauna Útil SL (titular/submitting org),Erica Novo E,Not restated in this report (orchard context = Ganfei/Kiwi 1000 Lda operation),,2026-05-06,2026-05-06,2026-05-25,Solo,Nematologia - contagem populacional,Contagem direta,"M. hapla J2 juveniles + eggs, per 200cc soil",Contagem,54,J2+ovos / 200cc de solo,Indicador de densidade populacional,"Estación Fitopatolóxica Areeiro (Pontevedra, ES)",Confirmado (código do talhão indicado no relatório),
39,343_Kiwi.pdf,Relatório Laboratorial - Nematologia,343/2026 (expediente 2026039060),Fauna Útil SL (titular/submitting org),Erica Novo E,Not restated in this report (orchard context = Ganfei/Kiwi 1000 Lda operation),,2026-05-06,2026-05-06,2026-05-25,Raiz,Nematologia - contagem populacional,Contagem direta,"M. hapla J2 juveniles + eggs, per g root",Contagem,78,J2+ovos / g de raiz,Indicador de densidade populacional - B4 e B1 apresentam as cargas radiculares mais elevadas,"Estación Fitopatolóxica Areeiro (Pontevedra, ES)",Confirmado (código do talhão indicado no relatório),
40,INFORME_RESULTADOS_MOSTRA_240_Kiwi.pdf,"Relatório Laboratorial - Fitopatologia (CASO DE REFERÊNCIA, NÃO é Ganfei)",240/2023 (expediente 2023041497),Kiwi Atlántico S.A. (DIFFERENT CLIENT),B-3/C-3,"Lois-Portarís, Ribadumia, Pontevedra (Espanha) - NÃO é Ganfei/Valença",,2023-05-26,2023-05-26,2023-06-27,Raiz,Fitopatologia fúngica,Morfolóxica/Molecular,Dactylonectria sp.,POSITIVO,,n/d,Ponto de dados de referência de um pomar de kiwi galego diferente - útil apenas para comparação,"Estación Fitopatolóxica Areeiro (Pontevedra, ES)","Localização confirmada, mas POMAR ERRADO - assinalar como referência/benchmark externo apenas, não faz parte do conjunto de dados de Ganfei",NÃO juntar às estatísticas do pomar de Ganfei - local/cliente diferente.
41,INFORME_RESULTADOS_MOSTRA_240_Kiwi.pdf,"Relatório Laboratorial - Fitopatologia (CASO DE REFERÊNCIA, NÃO é Ganfei)",240/2023 (expediente 2023041497),Kiwi Atlántico S.A. (DIFFERENT CLIENT),B-3/C-3,"Lois-Portarís, Ribadumia, Pontevedra (Espanha) - NÃO é Ganfei/Valença",,2023-05-26,2023-05-26,2023-06-27,Raiz,Fitopatologia fúngica,Morfolóxica/Molecular,Fusarium sp.,POSITIVO,,n/d,Ponto de dados de referência de um pomar de kiwi galego diferente - útil apenas para comparação,"Estación Fitopatolóxica Areeiro (Pontevedra, ES)","Localização confirmada, mas POMAR ERRADO - assinalar como referência/benchmark externo apenas, não faz parte do conjunto de dados de Ganfei",NÃO juntar às estatísticas do pomar de Ganfei - local/cliente diferente.
42,INFORME_RESULTADOS_MOSTRA_240_Kiwi.pdf,"Relatório Laboratorial - Fitopatologia (CASO DE REFERÊNCIA, NÃO é Ganfei)",240/2023 (expediente 2023041497),Kiwi Atlántico S.A. (DIFFERENT CLIENT),B-3/C-3,"Lois-Portarís, Ribadumia, Pontevedra (Espanha) - NÃO é Ganfei/Valença",,2023-05-26,2023-05-26,2023-06-27,Raiz,Fitopatologia fúngica,Morfolóxica/Molecular,Ilyonectria liriodendri,POSITIVO,,n/d,Ponto de dados de referência de um pomar de kiwi galego diferente - útil apenas para comparação,"Estación Fitopatolóxica Areeiro (Pontevedra, ES)","Localização confirmada, mas POMAR ERRADO - assinalar como referência/benchmark externo apenas, não faz parte do conjunto de dados de Ganfei",NÃO juntar às estatísticas do pomar de Ganfei - local/cliente diferente.
43,INFORME_RESULTADOS_MOSTRA_240_Kiwi.pdf,"Relatório Laboratorial - Fitopatologia (CASO DE REFERÊNCIA, NÃO é Ganfei)",240/2023 (expediente 2023041497),Kiwi Atlántico S.A. (DIFFERENT CLIENT),B-3/C-3,"Lois-Portarís, Ribadumia, Pontevedra (Espanha) - NÃO é Ganfei/Valença",,2023-05-26,2023-05-26,2023-06-27,Raiz,Fitopatologia fúngica,Morfolóxica/Molecular,Rhizoctonia solani,POSITIVO,,n/d,Ponto de dados de referência de um pomar de kiwi galego diferente - útil apenas para comparação,"Estación Fitopatolóxica Areeiro (Pontevedra, ES)","Localização confirmada, mas POMAR ERRADO - assinalar como referência/benchmark externo apenas, não faz parte do conjunto de dados de Ganfei",NÃO juntar às estatísticas do pomar de Ganfei - local/cliente diferente.
