Record_ID,Source_File,Doc_Type,Terrain_Block_Parcel,Sample_Date,Matrix,Organism_Parameter,Result,classe_posicao,unidade,nota_colocacao,E,N,d_foco_OESTE_m,d_foco_ESTE_m,pct_defice_2026,pct_novo_M2,pct_nu2021
43,INFORME_RESULTADOS_MOSTRA_240_Kiwi.pdf,"Relatório Laboratorial - Fitopatologia (CASO DE REFERÊNCIA, NÃO é Ganfei)",B-3/C-3,2023-05-26,Raiz,Rhizoctonia solani,POSITIVO,FORA DO CONJUNTO,,outro cliente e outro concelho (Espanha),,,,,,,
44,INFORME_RESULTADOS_MOSTRA_240_Kiwi.pdf,"Relatório Laboratorial - Fitopatologia (CASO DE REFERÊNCIA, NÃO é Ganfei)",B-3/C-3,2023-05-26,Raiz,Oomicetes (general),NEGATIVO,FORA DO CONJUNTO,,outro cliente e outro concelho (Espanha),,,,,,,
45,INFORME_RESULTADOS_MOSTRA_240_Kiwi.pdf,"Relatório Laboratorial - Fitopatologia (CASO DE REFERÊNCIA, NÃO é Ganfei)",B-3/C-3,2023-05-26,Solo,Armillaria sp.,NEGATIVO,FORA DO CONJUNTO,,outro cliente e outro concelho (Espanha),,,,,,,
46,INFORME_RESULTADOS_MOSTRA_240_Kiwi.pdf,"Relatório Laboratorial - Fitopatologia (CASO DE REFERÊNCIA, NÃO é Ganfei)",B-3/C-3,2023-05-26,Solo,Rosellinia sp.,NEGATIVO,FORA DO CONJUNTO,,outro cliente e outro concelho (Espanha),,,,,,,
47,INFORME_RESULTADOS_MOSTRA_240_Kiwi.pdf,"Relatório Laboratorial - Fitopatologia (CASO DE REFERÊNCIA, NÃO é Ganfei)",B-3/C-3,2023-05-26,Solo,Oomicetes (general),NEGATIVO,FORA DO CONJUNTO,,outro cliente e outro concelho (Espanha),,,,,,,
48,INFORME_RESULTADOS_MOSTRA_240_Kiwi_1.pdf,"Relatório Laboratorial - Fitopatologia (CASO DE REFERÊNCIA, NÃO é Ganfei)",B-3/C-3,2023-05-26,Raiz,Dactylonectria sp.,POSITIVO,FORA DO CONJUNTO,,outro cliente e outro concelho (Espanha),,,,,,,
49,INFORME_RESULTADOS_MOSTRA_240_Kiwi_1.pdf,"Relatório Laboratorial - Fitopatologia (CASO DE REFERÊNCIA, NÃO é Ganfei)",B-3/C-3,2023-05-26,Raiz,Fusarium sp.,POSITIVO,FORA DO CONJUNTO,,outro cliente e outro concelho (Espanha),,,,,,,
50,INFORME_RESULTADOS_MOSTRA_240_Kiwi_1.pdf,"Relatório Laboratorial - Fitopatologia (CASO DE REFERÊNCIA, NÃO é Ganfei)",B-3/C-3,2023-05-26,Raiz,Ilyonectria liriodendri,POSITIVO,FORA DO CONJUNTO,,outro cliente e outro concelho (Espanha),,,,,,,
51,INFORME_RESULTADOS_MOSTRA_240_Kiwi_1.pdf,"Relatório Laboratorial - Fitopatologia (CASO DE REFERÊNCIA, NÃO é Ganfei)",B-3/C-3,2023-05-26,Raiz,Rhizoctonia solani,POSITIVO,FORA DO CONJUNTO,,outro cliente e outro concelho (Espanha),,,,,,,
52,INFORME_RESULTADOS_MOSTRA_240_Kiwi_1.pdf,"Relatório Laboratorial - Fitopatologia (CASO DE REFERÊNCIA, NÃO é Ganfei)",B-3/C-3,2023-05-26,Raiz,Oomicetes (general),NEGATIVO,FORA DO CONJUNTO,,outro cliente e outro concelho (Espanha),,,,,,,
53,INFORME_RESULTADOS_MOSTRA_240_Kiwi_1.pdf,"Relatório Laboratorial - Fitopatologia (CASO DE REFERÊNCIA, NÃO é Ganfei)",B-3/C-3,2023-05-26,Solo,Armillaria sp.,NEGATIVO,FORA DO CONJUNTO,,outro cliente e outro concelho (Espanha),,,,,,,
54,INFORME_RESULTADOS_MOSTRA_240_Kiwi_1.pdf,"Relatório Laboratorial - Fitopatologia (CASO DE REFERÊNCIA, NÃO é Ganfei)",B-3/C-3,2023-05-26,Solo,Rosellinia sp.,NEGATIVO,FORA DO CONJUNTO,,outro cliente e outro concelho (Espanha),,,,,,,
55,INFORME_RESULTADOS_MOSTRA_240_Kiwi_1.pdf,"Relatório Laboratorial - Fitopatologia (CASO DE REFERÊNCIA, NÃO é Ganfei)",B-3/C-3,2023-05-26,Solo,Oomicetes (general),NEGATIVO,FORA DO CONJUNTO,,outro cliente e outro concelho (Espanha),,,,,,,
56,ISFBV0314_ITS.pdf,Relatório Laboratorial - Metagenómica Fúngica do Solo (ITS),NÃO ESPECIFICADO - alerta: não foi encontrado código de talhão/terreno nas páginas extraídas do relatório,Not stated in extracted pages,Solo (comunidade fúngica edáfica),Total reads / filtered reads / % qualified,Controlo de qualidade da sequenciação,SEM POSICAO,,o proprio documento nao indica talhao,,,,,,,
57,ISFBV0314_ITS.pdf,Relatório Laboratorial - Metagenómica Fúngica do Solo (ITS),NÃO ESPECIFICADO - alerta: não foi encontrado código de talhão/terreno nas páginas extraídas do relatório,Not stated in extracted pages,Solo (comunidade fúngica edáfica),ASV richness,Métrica de diversidade,SEM POSICAO,,o proprio documento nao indica talhao,,,,,,,
58,ISFBV0314_ITS.pdf,Relatório Laboratorial - Metagenómica Fúngica do Solo (ITS),NÃO ESPECIFICADO - alerta: não foi encontrado código de talhão/terreno nas páginas extraídas do relatório,Not stated in extracted pages,Solo (comunidade fúngica edáfica),Pielou evenness index,Métrica de diversidade,SEM POSICAO,,o proprio documento nao indica talhao,,,,,,,
59,ISFBV0314_ITS.pdf,Relatório Laboratorial - Metagenómica Fúngica do Solo (ITS),NÃO ESPECIFICADO - alerta: não foi encontrado código de talhão/terreno nas páginas extraídas do relatório,Not stated in extracted pages,Solo (comunidade fúngica edáfica),Simpson index,Métrica de diversidade,SEM POSICAO,,o proprio documento nao indica talhao,,,,,,,
60,ISFBV0314_ITS.pdf,Relatório Laboratorial - Metagenómica Fúngica do Solo (ITS),NÃO ESPECIFICADO - alerta: não foi encontrado código de talhão/terreno nas páginas extraídas do relatório,Not stated in extracted pages,Solo (comunidade fúngica edáfica),Shannon index,Métrica de diversidade,SEM POSICAO,,o proprio documento nao indica talhao,,,,,,,
61,ISFBV0315_ITS.pdf,Relatório Laboratorial - Metagenómica Fúngica do Solo (ITS),NÃO ESPECIFICADO - alerta: não foi encontrado código de talhão/terreno nas páginas extraídas do relatório,Not stated in extracted pages,Solo (comunidade fúngica edáfica),Total reads / filtered reads / % qualified,Controlo de qualidade da sequenciação,SEM POSICAO,,o proprio documento nao indica talhao,,,,,,,
62,ISFBV0315_ITS.pdf,Relatório Laboratorial - Metagenómica Fúngica do Solo (ITS),NÃO ESPECIFICADO - alerta: não foi encontrado código de talhão/terreno nas páginas extraídas do relatório,Not stated in extracted pages,Solo (comunidade fúngica edáfica),ASV richness,Métrica de diversidade,SEM POSICAO,,o proprio documento nao indica talhao,,,,,,,
63,ISFBV0315_ITS.pdf,Relatório Laboratorial - Metagenómica Fúngica do Solo (ITS),NÃO ESPECIFICADO - alerta: não foi encontrado código de talhão/terreno nas páginas extraídas do relatório,Not stated in extracted pages,Solo (comunidade fúngica edáfica),Pielou evenness index,Métrica de diversidade,SEM POSICAO,,o proprio documento nao indica talhao,,,,,,,
64,ISFBV0315_ITS.pdf,Relatório Laboratorial - Metagenómica Fúngica do Solo (ITS),NÃO ESPECIFICADO - alerta: não foi encontrado código de talhão/terreno nas páginas extraídas do relatório,Not stated in extracted pages,Solo (comunidade fúngica edáfica),Simpson index,Métrica de diversidade,SEM POSICAO,,o proprio documento nao indica talhao,,,,,,,
65,ISFBV0315_ITS.pdf,Relatório Laboratorial - Metagenómica Fúngica do Solo (ITS),NÃO ESPECIFICADO - alerta: não foi encontrado código de talhão/terreno nas páginas extraídas do relatório,Not stated in extracted pages,Solo (comunidade fúngica edáfica),Shannon index,Métrica de diversidade,SEM POSICAO,,o proprio documento nao indica talhao,,,,,,,
66,ISFBV0316_ITS.pdf,Relatório Laboratorial - Metagenómica Fúngica do Solo (ITS),NÃO ESPECIFICADO - alerta: não foi encontrado código de talhão/terreno nas páginas extraídas do relatório,Not stated in extracted pages,Solo (comunidade fúngica edáfica),Total reads / filtered reads / % qualified,Controlo de qualidade da sequenciação,SEM POSICAO,,o proprio documento nao indica talhao,,,,,,,
67,ISFBV0316_ITS.pdf,Relatório Laboratorial - Metagenómica Fúngica do Solo (ITS),NÃO ESPECIFICADO - alerta: não foi encontrado código de talhão/terreno nas páginas extraídas do relatório,Not stated in extracted pages,Solo (comunidade fúngica edáfica),ASV richness,Métrica de diversidade,SEM POSICAO,,o proprio documento nao indica talhao,,,,,,,
68,ISFBV0316_ITS.pdf,Relatório Laboratorial - Metagenómica Fúngica do Solo (ITS),NÃO ESPECIFICADO - alerta: não foi encontrado código de talhão/terreno nas páginas extraídas do relatório,Not stated in extracted pages,Solo (comunidade fúngica edáfica),Pielou evenness index,Métrica de diversidade,SEM POSICAO,,o proprio documento nao indica talhao,,,,,,,
69,ISFBV0316_ITS.pdf,Relatório Laboratorial - Metagenómica Fúngica do Solo (ITS),NÃO ESPECIFICADO - alerta: não foi encontrado código de talhão/terreno nas páginas extraídas do relatório,Not stated in extracted pages,Solo (comunidade fúngica edáfica),Simpson index,Métrica de diversidade,SEM POSICAO,,o proprio documento nao indica talhao,,,,,,,
70,ISFBV0316_ITS.pdf,Relatório Laboratorial - Metagenómica Fúngica do Solo (ITS),NÃO ESPECIFICADO - alerta: não foi encontrado código de talhão/terreno nas páginas extraídas do relatório,Not stated in extracted pages,Solo (comunidade fúngica edáfica),Shannon index,Métrica de diversidade,SEM POSICAO,,o proprio documento nao indica talhao,,,,,,,
71,ISFBV0317_ITS.pdf,Relatório Laboratorial - Metagenómica Fúngica do Solo (ITS),NÃO ESPECIFICADO - alerta: não foi encontrado código de talhão/terreno nas páginas extraídas do relatório,Not stated in extracted pages,Solo (comunidade fúngica edáfica),Total reads / filtered reads / % qualified,Controlo de qualidade da sequenciação,SEM POSICAO,,o proprio documento nao indica talhao,,,,,,,
72,ISFBV0317_ITS.pdf,Relatório Laboratorial - Metagenómica Fúngica do Solo (ITS),NÃO ESPECIFICADO - alerta: não foi encontrado código de talhão/terreno nas páginas extraídas do relatório,Not stated in extracted pages,Solo (comunidade fúngica edáfica),ASV richness,Métrica de diversidade,SEM POSICAO,,o proprio documento nao indica talhao,,,,,,,
73,ISFBV0317_ITS.pdf,Relatório Laboratorial - Metagenómica Fúngica do Solo (ITS),NÃO ESPECIFICADO - alerta: não foi encontrado código de talhão/terreno nas páginas extraídas do relatório,Not stated in extracted pages,Solo (comunidade fúngica edáfica),Pielou evenness index,Métrica de diversidade,SEM POSICAO,,o proprio documento nao indica talhao,,,,,,,
74,ISFBV0317_ITS.pdf,Relatório Laboratorial - Metagenómica Fúngica do Solo (ITS),NÃO ESPECIFICADO - alerta: não foi encontrado código de talhão/terreno nas páginas extraídas do relatório,Not stated in extracted pages,Solo (comunidade fúngica edáfica),Simpson index,Métrica de diversidade,SEM POSICAO,,o proprio documento nao indica talhao,,,,,,,
75,ISFBV0317_ITS.pdf,Relatório Laboratorial - Metagenómica Fúngica do Solo (ITS),NÃO ESPECIFICADO - alerta: não foi encontrado código de talhão/terreno nas páginas extraídas do relatório,Not stated in extracted pages,Solo (comunidade fúngica edáfica),Shannon index,Métrica de diversidade,SEM POSICAO,,o proprio documento nao indica talhao,,,,,,,
76,9_agosto2023_A32A0C_Kiwi_1_000_Valenc_a_do_Minho.pdf,Relatório da Plataforma Becrop - Microbioma do Solo (ITS3-16S),Code A32A0C - 'No hay parcela asociada' (system shows NO parcel linked to this code),2023-08-25,Solo (microbioma),Total species detected,Contagem,SEM POSICAO,,o proprio documento nao indica talhao,,,,,,,
77,9_agosto2023_A32A0C_Kiwi_1_000_Valenc_a_do_Minho.pdf,Relatório da Plataforma Becrop - Microbioma do Solo (ITS3-16S),Code A32A0C - 'No hay parcela asociada' (system shows NO parcel linked to this code),2023-08-25,Solo (microbioma),Biosostenibilidad,MEDIO (score 41),SEM POSICAO,,o proprio documento nao indica talhao,,,,,,,
78,9_agosto2023_A32A0C_Kiwi_1_000_Valenc_a_do_Minho.pdf,Relatório da Plataforma Becrop - Microbioma do Solo (ITS3-16S),Code A32A0C - 'No hay parcela asociada' (system shows NO parcel linked to this code),2023-08-25,Solo (microbioma),Biodiversidad / Funcionalidad / Resiliencia,Muy alto / Muy alto / Medio,SEM POSICAO,,o proprio documento nao indica talhao,,,,,,,
79,9_agosto2023_A32A0C_Kiwi_1_000_Valenc_a_do_Minho.pdf,Relatório da Plataforma Becrop - Microbioma do Solo (ITS3-16S),Code A32A0C - 'No hay parcela asociada' (system shows NO parcel linked to this code),2023-08-25,Solo (microbioma),Estado de salud del cultivo / Biocontrol,Salud: Muy bajo / Biocontrol: Bajo,SEM POSICAO,,o proprio documento nao indica talhao,,,,,,,
80,9_agosto2023_A32A0C_Kiwi_1_000_Valenc_a_do_Minho.pdf,Relatório da Plataforma Becrop - Microbioma do Solo (ITS3-16S),Code A32A0C - 'No hay parcela asociada' (system shows NO parcel linked to this code),2023-08-25,Solo (microbioma),Top fungal phyla (relative abundance),60% Ascomycota / 15% Mortierellomycota / 13% Basidiomycota,SEM POSICAO,,o proprio documento nao indica talhao,,,,,,,
81,9_agosto2023_A32A0C_Kiwi_1_000_Valenc_a_do_Minho.pdf,Relatório da Plataforma Becrop - Microbioma do Solo (ITS3-16S),Code A32A0C - 'No hay parcela asociada' (system shows NO parcel linked to this code),2023-08-25,Solo (microbioma),Top bacterial phyla (relative abundance),37% Proteobacteria / 18% Actinobacteriota / 9% Acidobacteriota,SEM POSICAO,,o proprio documento nao indica talhao,,,,,,,
82,9_agosto2023_A32A0C_Kiwi_1_000_Valenc_a_do_Minho.pdf,Relatório da Plataforma Becrop - Microbioma do Solo (ITS3-16S),Code A32A0C - 'No hay parcela asociada' (system shows NO parcel linked to this code),2023-08-25,Solo (microbioma),Ratio Hongo-Bacteria / Ratio Arbuscular-Ectomicorriza,1:51 / 1:9.72,SEM POSICAO,,o proprio documento nao indica talhao,,,,,,,
83,29enero2024_A32A0B_Kiwi_1_000_Valenc_a_do_Minho.pdf,Relatório da Plataforma Becrop - Microbioma do Solo (ITS3-16S),Code A32A0B - 'No hay parcela asociada' (system shows NO parcel linked to this code),2024-02-04,Solo (microbioma),Total species detected,Contagem,SEM POSICAO,,o proprio documento nao indica talhao,,,,,,,
